,YOph,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.788633753826372,-4.526284853826372,-7.27592967219372,-1.1470000000000011,-3.8846511000000015,-6.634295918367349,-0.3760210741423289,-0.3760210741423289,-0.7632403587342713,0.2876958097211253,0.2876958097211253,-0.09952347487081781,-0.2593952901796581,-0.3209545317123713,-0.10898173074207827,-0.18704504901157207
1,V,-3.1536337538263712,-5.243443753826371,-7.3424092640304535,-2.5120000000000005,-4.60181,-6.700775510204083,-0.38527071629979837,-0.38527071629979837,-0.6808579564463182,0.2784461675636556,0.2784461675636556,-0.017141072582863792,-0.19339226951156085,-0.19339226951156085,-0.07995364416864327,-0.07995364416864327
2,I,-4.795633753826372,-6.066238233826372,-7.342409264030454,-4.154000000000001,-5.424604480000001,-6.700775510204084,-0.5011409144372347,-0.5011409144372347,-0.6808579564463191,0.16257596942621877,0.16257596942621877,-0.01714107258286468,-0.11758249986303015,-0.11758249986303027,-0.048611815654534735,-0.048611815654535255
3,J,-5.882633753826372,-6.492858273826372,-7.1057562028059635,-5.241000000000001,-5.8512245200000015,-6.464122448979593,-0.5112562429866445,-0.5112562429866445,-0.5975677171094285,0.15246064087681077,0.15246064087681077,0.06614916675402593,-0.039798929436714814,-0.0537063137739795,-0.023059980047983847,0.059409019719286346
4,H,-6.450633753826372,-6.828889363826372,-7.20880212117331,-5.809000000000001,-6.187255610000001,-6.567168367346939,-0.4772252169622071,-0.4772252169622071,-0.5307265074287271,0.1864916669012473,0.1864916669012473,0.13299037643473,-0.02428203491681391,-0.0011581329993728406,-0.01424963810208249,0.13482454671141314
5,K,-6.637633753826371,-6.886321143826371,-7.1360980395406575,-5.996,-6.24468739,-6.494464285714287,-0.49058003270288086,-0.49058003270288086,-0.5257549142803173,0.17313685116057265,0.17313685116057265,0.1379619695831371,-0.014631445571808399,0.003230249856393752,-0.00948435552852711,0.14461175688642047
