,VCen,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.4924333226953959,-2.7364355226953956,-4.961259853307638,-1.4860000000000007,-2.7300022000000004,-4.954826530612243,-0.7363565207504128,-0.7363565207504128,0.10918668503350304,-0.7028923176504831,-0.7028923176504831,0.1426508881334314,-0.10835183738189334,-0.12684433595084826,-0.12322451643333676,-0.14486132649002184
1,V,-2.3634333226953963,-3.313053322695396,-5.011392506368864,-2.357000000000001,-3.306620000000001,-5.004959183673469,-0.5140172229129789,-0.5140172229129789,0.1314356059297035,-0.48055301981304943,-0.48055301981304943,0.16489980902963364,-0.07766703604457278,-0.07766703604457278,-0.09303453473598808,-0.09303453473598808
2,I,-3.4014333226953957,-3.9788022826953955,-5.011392506368864,-3.3950000000000005,-3.9723689600000003,-5.004959183673469,-0.26099971400664757,-0.26099971400664757,0.1314356059297035,-0.22753551090671786,-0.22753551090671786,0.16489980902963364,-0.04722155791509999,-0.047221557915099674,-0.056564997119481236,-0.05656499711948068
3,J,-4.1244333226953955,-4.401722362695396,-4.897637404328048,-4.118,-4.395289040000001,-4.891204081632653,-0.08689046011396684,-0.08689046011396684,0.10158176590809731,-0.05342625701403492,-0.05342625701403492,0.13504596900802746,-0.026281057169801406,-0.03698754399028807,-0.02894036853963841,-0.05187549211344669
4,H,-4.569433322695396,-4.741314542695396,-5.048713934940293,-4.563000000000001,-4.734881220000001,-5.042280612244898,-0.020313554512635612,-0.020313554512635612,0.09651340750789039,0.013150648587295422,0.013150648587295422,0.1299776106078223,-0.016238753376148343,-0.026531687512736032,-0.01795121177074452,-0.0437258021998089
5,K,-4.688433322695396,-4.801438102695395,-5.003540465552538,-4.682,-4.79500478,-4.997107142857143,-0.0055121441272376615,-0.0055121441272376615,0.07129674250504081,0.027952058972690708,0.027952058972690708,0.10476094560497096,-0.011159150003816787,-0.04450575040622348,-0.011903958493738404,-0.06181298810304511
