,SYAur,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.4293533078368057,-3.2572749078368055,-5.529786981306194,-1.846,-3.6739216,-5.946433673469389,-0.31905640629805765,-0.31905640629805765,0.3187912582301715,-0.7113416725181541,-0.7113416725181541,-0.07349400798992534,-0.28665269238764834,-0.33985631167326724,-0.35543179024404,-0.41606668366087884
1,V,-2.4493533078368053,-3.8447133078368054,-5.579455348653132,-2.8659999999999997,-4.26136,-5.996102040816327,-0.10413875004765938,-0.10413875004765938,0.38276786409602703,-0.4964240162677558,-0.4964240162677558,-0.00951740212406893,-0.20425592281363797,-0.20425592281363797,-0.26880352993539824,-0.26880352993539824
2,I,-3.6763533078368056,-4.524732187836806,-5.579455348653132,-4.093,-4.94137888,-5.996102040816327,0.08672864269666558,0.08672864269666558,0.38276786409602703,-0.30555662352343127,-0.30555662352343127,-0.00951740212406893,-0.12418760107069199,-0.12418760107069177,-0.16343254620072306,-0.16343254620072264
3,J,-4.5113533078368055,-4.918798427836806,-5.425343103755173,-4.928,-5.33544512,-5.8419897959183675,0.24583193525661784,0.24583193525661784,0.3880086665865745,-0.14645333096347635,-0.14645333096347635,-0.0042765996335214496,-0.06756414600180438,-0.00913144328450427,-0.078383748794459,-0.07354674568680668
4,H,-4.9953533078368055,-5.247913467836805,-5.561901777224561,-5.412,-5.66456016,-5.978548469387755,0.3222114556598674,0.3222114556598674,0.41034155281987506,-0.07007381056022766,-0.07007381056022766,0.018056286599781757,-0.040901737569790375,0.05597733072511879,-0.04857070113713527,-0.021543537777742677
5,K,-5.114353307836805,-5.280401147836805,-5.486835450693948,-5.531,-5.69704784,-5.9034821428571425,0.35850973472884373,0.35850973472884373,0.41645162181194273,-0.03377553149125312,-0.03377553149125312,0.024166355591846767,-0.027823383210020314,0.08181991254317611,-0.03195100793840759,0.0011537787200258023
