,BKAur,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.1539384278757847,-2.952240927875785,-5.190877203385989,-0.6830000000000016,-2.4813025000000017,-4.719938775510206,-0.18065946710639458,-0.18065946710639458,0.35670737862670343,0.31567297394766336,0.31567297394766336,0.8530398196807605,-0.2088590767438726,-0.199733827355231,-0.237420972066111,-0.2268792419548421
1,V,-2.220938427875783,-3.593688427875783,-5.302571080937009,-1.75,-3.12275,-4.8316326530612255,-0.06750656065279559,-0.06750656065279559,0.3426971383801032,0.4288258804012619,0.4288258804012619,0.8390295794341611,-0.1574877757884418,-0.1574877757884418,-0.18102190818199004,-0.18102190818199004
2,I,-3.4289384278757833,-4.263570427875783,-5.302571080937009,-2.958,-3.7926320000000002,-4.8316326530612255,0.09329328936810066,0.09329328936810066,0.3426971383801032,0.5896257304221582,0.5896257304221582,0.8390295794341611,-0.0957525676793724,-0.09575256767937212,-0.1100613201746502,-0.11006132017464909
3,J,-4.290938427875784,-4.691781427875784,-5.190775162569662,-3.820000000000001,-4.220843000000001,-4.719836734693879,0.18787775264553908,0.18787775264553908,0.3076572327631464,0.6842101936995988,0.6842101936995988,0.8039896738172043,-0.054185949065617744,-0.040495072507543806,-0.061737442541419996,-0.061722828828075116
4,H,-4.792938427875784,-5.041406177875784,-5.350713938079866,-4.322000000000001,-4.570467750000001,-4.879775510204083,0.22737964924373788,0.22737964924373788,0.3016265187686926,0.7237120902977967,0.7237120902977967,0.7979589598227532,-0.03325619730451418,-0.011045731172429851,-0.038323545697821815,-0.032949270021455535
5,K,-4.905938427875784,-5.069295677875783,-5.27265271359007,-4.4350000000000005,-4.59835725,-4.8017142857142865,0.26136259927466376,0.26136259927466376,0.31017683945957764,0.7576950403287208,0.7576950403287208,0.8065092805136365,-0.022509644472602675,0.01359748365561897,-0.025882942021341337,-0.006248943800310269
