,YAur,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.692778834597668,-2.279516334597668,-4.178314548883385,-1.17,-2.7567375,-4.655535714285717,-0.14062392969076087,-0.14062392969076087,0.44416731202930215,-0.5892774294568419,-0.5892774294568419,-0.00448618773677989,-0.21140775692559122,-0.19434484609039648,-0.3021700510052367,-0.2787935595225085
1,V,-1.5907788345976677,-2.8020288345976674,-4.251493120311956,-2.0679999999999996,-3.2792499999999993,-4.728714285714288,-0.026790247881944174,-0.026790247881944174,0.419615280148637,-0.4754437476480251,-0.4754437476480251,-0.02903821961744324,-0.16014732645838659,-0.16014732645838659,-0.23166061322819542,-0.23166061322819542
2,I,-2.6337788345976687,-3.3702188345976687,-4.251493120311956,-3.1110000000000007,-3.8474400000000006,-4.728714285714288,0.1482007191060437,0.1482007191060437,0.419615280148637,-0.30045278066003744,-0.30045278066003744,-0.02903821961744324,-0.09736957448669903,-0.09736957448669886,-0.1408496528427432,-0.14084965284274287
3,J,-3.461778834597668,-3.815463834597668,-4.23870740602624,-3.939,-4.292685,-4.715928571428572,0.16147122079607357,0.16147122079607357,0.2918216349810052,-0.2871822789700049,-0.2871822789700049,-0.15683186478507594,-0.05916885073456568,-0.12492818604362355,-0.06750178160564119,-0.196344458849482
4,H,-3.9207788345976686,-4.140015084597668,-4.402368120311955,-4.398000000000001,-4.61723625,-4.879589285714287,0.18595282124041557,0.18595282124041557,0.26675222181395153,-0.2627006785256629,-0.2627006785256629,-0.18190127795212696,-0.036724223278663704,-0.11018249003895214,-0.04185022927018109,-0.19620867573804734
5,K,-4.037778834597669,-4.181917584597668,-4.354403834597669,-4.515000000000001,-4.65913875,-4.831625000000001,0.1903786429808969,0.1903786429808969,0.24350090081653697,-0.25827485678518425,-0.25827485678518425,-0.20515259894954418,-0.025019866871127283,-0.11575556307250301,-0.027350152344110173,-0.20533676507086135
