,VXCyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.46120280080577025,-3.6473717008057704,-6.814034433458831,-0.4939999999999998,-3.6801689,-6.8468316326530605,1.0449022835717126,1.0449022835717126,-0.09596602379233232,1.0334836419831723,1.0334836419831723,-0.10738466538087277,0.22270340190699747,0.25848812120410536,0.23670636487276908,0.27883426737466266
1,V,-2.168202800805771,-4.600392800805771,-7.017692596724138,-2.2010000000000005,-4.633190000000001,-7.050489795918367,0.7310206541152651,0.7310206541152651,-0.1398711835672115,0.7196020125267246,0.7196020125267246,-0.15128982515575107,0.16148728791318168,0.16148728791318168,0.17881891933819946,0.17881891933819946
2,I,-4.069202800805771,-5.547974320805771,-7.017692596724139,-4.102,-5.580771520000001,-7.050489795918368,0.3896310537437335,0.3896310537437335,-0.1398711835672124,0.37821241215519397,0.37821241215519397,-0.15128982515575196,0.09818427105121433,0.09818427105121388,0.10872190295762546,0.1087219029576249
3,J,-5.4142028008057705,-6.1244022808057705,-6.830253821213933,-5.447,-6.15719948,-6.863051020408163,0.14711620897921307,0.14711620897921307,-0.1071842076240701,0.1356975673906744,0.1356975673906744,-0.11860284921260966,0.05101332695179063,0.06329850604520021,0.05384970989747402,0.08018226335605258
4,H,-6.14720280080577,-6.5874291908057705,-7.024960453866995,-6.18,-6.62022639,-7.057757653061224,0.029028135377151543,0.029028135377151543,-0.12860328724337666,0.017609493788612873,0.017609493788612873,-0.14002192883191356,0.03106540109699188,0.016608115766871656,0.03337132582037544,0.03626169477527383
5,K,-6.32520280080577,-6.61463341080577,-6.902292086520056,-6.358,-6.64743061,-6.935089285714286,0.030347175944778648,0.030347175944778648,-0.07328895273943647,0.018928534356238202,0.018928534356238202,-0.08470759432797603,0.021282329680370415,0.05932721115838725,0.022039235639418217,0.07924027618113455
