,UZSct,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.8880559251292333,-3.427870074870767,-6.006153258544238,0.511000000000001,-3.804925999999999,-6.38320918367347,2.2144074070482507,2.2144074070482507,0.3170420859365555,1.8600846889548006,1.8600846889548006,-0.03728063215689481,-0.14513638235165893,-0.06140347725874193,-0.21168503371638253,-0.1100046445685676
1,V,-0.9889440748707674,-4.283544074870767,-6.251699176911585,-1.3659999999999997,-4.6606,-6.6287551020408175,1.658679995875655,1.658679995875655,0.21030952174459028,1.3043572777822048,1.3043572777822048,-0.14401319634886,-0.12486504777229473,-0.12486504777229473,-0.16593969673204012,-0.16593969673204012
2,I,-3.051944074870768,-5.055060874870768,-6.251699176911586,-3.4290000000000003,-5.4321168,-6.628755102040818,1.0909187700162768,1.0909187700162768,0.2103095217445894,0.7365960519228265,0.7365960519228265,-0.1440131963488609,-0.07591794904555454,-0.07591794904555507,-0.10089133561307911,-0.10089133561307975
3,J,-4.7019440748707675,-5.6639672748707675,-6.238668564666686,-5.079,-6.0410232,-6.615724489795919,0.494183037200985,0.494183037200985,0.07125885875471383,0.1398603191075365,0.1398603191075365,-0.28306385933873557,-0.04476869465914822,-0.15063765947648025,-0.04711498631809863,-0.191997880154676
4,H,-5.489944074870767,-6.086266674870767,-6.442502748340155,-5.866999999999999,-6.463322599999999,-6.819558673469388,0.29632944117346494,0.29632944117346494,0.03417438535574213,-0.05799327691998357,-0.05799327691998357,-0.3201483327377055,-0.02834175248329985,-0.16281637510849425,-0.029214019289593107,-0.21318805382437375
5,K,-5.7019440748707675,-6.094001474870767,-6.328211932013625,-6.079,-6.471057399999999,-6.705267857142857,0.25273961577927473,0.25273961577927473,0.08038352935767712,-0.10158310231417644,-0.10158310231417644,-0.2739391887357723,-0.01825921408157169,-0.10498177294044533,-0.018950280863201385,-0.15787955618089075
