,CFCas,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.08544549501850796,-2.2544634049814922,-4.716773892736592,-0.010000000000001563,-2.3499089000000017,-4.812219387755102,0.77252397679035,0.77252397679035,0.20210083949441326,0.7046293436055175,0.7046293436055175,0.1342062063095799,0.20041397118199247,0.20663902622006797,0.16616655004509936,0.174532189993789
1,V,-1.1245545049814911,-2.9107445049814915,-4.790370831512101,-1.2200000000000006,-3.006190000000001,-4.885816326530611,0.6282853113372533,0.6282853113372533,0.192847801951042,0.5603906781524208,0.5603906781524208,0.12495316876620954,0.1538702075840586,0.1538702075840586,0.12659369527498296,0.12659369527498296
2,I,-2.5615545049814905,-3.6475580249814907,-4.790370831512102,-2.657,-3.7430035200000003,-4.885816326530612,0.45759380765785806,0.45759380765785806,0.19284780195104112,0.3896991744730256,0.3896991744730256,0.12495316876620954,0.09355308621110842,0.09355308621110792,0.07696896672718939,0.0769689667271899
3,J,-3.5515545049814907,-4.073121984981491,-4.6219728723284295,-3.6470000000000002,-4.16856748,-4.717418367346939,0.34580965109041584,0.34580965109041584,0.21866189834964267,0.27791501790558604,0.27791501790558604,0.1507672651648102,0.04158496852298876,0.09355257277067341,0.035682533362023205,0.06667765936507539
4,H,-4.120554504981492,-4.4438548949814916,-4.784067260083532,-4.216000000000001,-4.539300390000001,-4.879512755102041,0.2788803247042031,0.2788803247042031,0.20006613550529906,0.21098569151937152,0.21098569151937152,0.13217150232046926,0.025744819919243878,0.06800584146238398,0.02209532605079989,0.036220820414265886
5,K,-4.286554504981491,-4.499111114981491,-4.7227866478386336,-4.382000000000001,-4.594556610000001,-4.818232142857143,0.24249437296686782,0.24249437296686782,0.19067730934990834,0.17459973978203447,0.17459973978203447,0.12278267616507677,0.016349345150567435,0.05263841880136805,0.014417099398929864,0.020014741774682238
