,CRCep,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.38279163011548967,-2.61720006988451,-5.38521857396614,0.9410000000000007,-2.058991699999999,-4.8270102040816285,1.2117562851989705,1.2117562851989705,-0.1546559122763469,1.7964462419697536,1.7964462419697536,0.43003404449443483,0.32577347572427884,0.2843212483583414,0.3795483653193626,0.3278815066238902
1,V,-1.010208369884511,-3.300278369884511,-5.413269594374304,-0.45199999999999996,-2.74207,-4.855061224489793,0.9412281551502633,0.9412281551502633,-0.10183459101410097,1.5259181119210463,1.5259181119210463,0.48285536575668164,0.2556741899671734,0.2556741899671734,0.29226059212217853,0.29226059212217853
2,I,-2.73620836988451,-4.128570929884511,-5.413269594374305,-2.177999999999999,-3.570362559999999,-4.855061224489794,0.5323475586538318,0.5323475586538318,-0.10183459101410275,1.1170375154246148,1.1170375154246148,0.48285536575668075,0.15544990750004242,0.15544990750004123,0.17769444001028462,0.1776944400102845
3,J,-3.911208369884511,-4.579908809884511,-5.19690224743553,-3.3529999999999998,-4.02170044,-4.638693877551019,0.27441527129517596,0.27441527129517596,-0.03015905058481838,0.8591052280659612,0.8591052280659612,0.5545309061859651,0.07880086391936214,0.134288286240772,0.08034714864580483,0.17207942651493596
4,H,-4.5672083698845105,-4.981711039884511,-5.3641624515171635,-4.0089999999999995,-4.4235026699999995,-4.8059540816326525,0.14003428863589296,0.14003428863589296,-0.04876006841985703,0.7247242454066773,0.7247242454066773,0.5359298883509291,0.048453927714896206,0.0819589443504109,0.049755949777966824,0.12950346399041734
5,K,-4.730208369884511,-5.00272669988451,-5.254172655598796,-4.172,-4.444518329999999,-4.695964285714285,0.11525910867349065,0.11525910867349065,-0.008865358120069722,0.6999490654442733,0.6999490654442733,0.5758245986507138,0.03236893478478448,0.10412125646678785,0.03223825285968662,0.1552642522243426
