,BFOph,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.3646571691241913,-2.3590126691241915,-4.609580638511947,-0.9100000000000001,-1.9043555,-4.1549234693877555,-0.7821838534103999,-0.7821838534103999,0.0795030798496903,-0.2991875026266855,-0.2991875026266855,0.5624994306334035,0.04303671682772221,0.0770233976505528,0.05594001299110174,0.09497717470499184
1,V,-2.227657169124191,-2.986707169124191,-4.704697985450721,-1.7729999999999997,-2.53205,-4.25004081632653,-0.6212321951325706,-0.6212321951325706,0.03654408979879609,-0.13823584434885605,-0.13823584434885605,0.5195404405825101,0.026608595488069084,0.026608595488069084,0.04148147231711091,0.04148147231711091
2,I,-3.198657169124191,-3.660159569124191,-4.704697985450721,-2.7439999999999998,-3.2055024,-4.25004081632653,-0.3633838914394749,-0.3633838914394749,0.0365440897987952,0.11961245934423914,0.11961245934423914,0.5195404405825101,0.016178026056746495,0.016178026056746043,0.025220735168802855,0.025220735168803743
3,J,-3.863657169124191,-4.085299769124191,-4.586953087491538,-3.409,-3.6306426,-4.132295918367347,-0.17881147488491456,-0.17881147488491456,0.013259200315045128,0.30418487589880217,0.30418487589880217,0.4962555510987601,0.006350509757955864,-0.01119305965267868,0.0066125235324661635,0.005035969624223868
4,H,-4.2796571691241905,-4.417045219124191,-4.728001556879293,-3.8249999999999993,-3.9623880499999995,-4.273344387755102,-0.10715276047749711,-0.10715276047749711,0.011904747095080381,0.3758435903062196,0.3758435903062196,0.494901097878798,0.003930248954282596,-0.013581722481667561,0.004066760578044948,0.008186259349167446
5,K,-4.386657169124191,-4.47698411912419,-4.681425026267048,-3.9319999999999995,-4.022326949999999,-4.226767857142857,-0.09088697850732341,-0.09088697850732341,-0.012611600600490824,0.39210937227639064,0.39210937227639064,0.47038475018322323,0.0023127262038604244,-0.03907293656816169,0.0022590756352208197,-0.014612849664473737
