,xSgr,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.405269118243055,-3.408087218243055,-5.4329731998757085,-2.4000000000000004,-3.4028181,-5.427704081632654,-1.5082236738397996,-1.5082236738397996,-0.05285431460384071,-1.4769860354929512,-1.4769860354929512,-0.021616676256993372,-0.44825571252485596,-0.49228509539775706,-0.43860154636356324,-0.4911336423807976
1,V,-3.155269118243055,-3.920779118243055,-5.466493608038974,-3.1500000000000004,-3.9155100000000003,-5.461224489795919,-1.1085405688332206,-1.1085405688332206,0.0024284076827782997,-1.0773029304863728,-1.0773029304863728,0.03366604602962653,-0.33354937932454237,-0.33354937932454237,-0.3325957404716645,-0.3325957404716645
2,I,-4.061269118243056,-4.5266991982430556,-5.466493608038974,-4.056000000000001,-4.521430080000001,-5.461224489795919,-0.67304073003895,-0.67304073003895,0.0024284076827774115,-0.6418030916921018,-0.6418030916921018,0.03366604602962653,-0.20279802262932173,-0.2027980226293222,-0.20221821020677316,-0.20221821020677272
3,J,-4.700269118243055,-4.923798038243055,-5.375146669263463,-4.695,-4.91852892,-5.369877551020409,-0.3763308490978563,-0.3763308490978563,-0.05192790795518398,-0.3450932107510063,-0.3450932107510063,-0.020690269608335754,-0.09896256233586347,-0.15146552327174007,-0.09754161502880199,-0.1504239814566468
4,H,-5.098269118243055,-5.236826428243055,-5.516600750896116,-5.093,-5.23155731,-5.511331632653062,-0.24333201242900326,-0.24333201242900326,-0.042246627679608295,-0.21209437408215415,-0.21209437408215415,-0.011008989332757402,-0.06123702399627396,-0.10463271867056936,-0.06045411193999966,-0.10323430177169268
5,K,-5.195269118243055,-5.286364808243055,-5.47030483252877,-5.19,-5.281095690000001,-5.465035714285715,-0.19797551327562513,-0.19797551327562513,-0.06577020507022269,-0.16673787492877779,-0.16673787492877779,-0.03453256672337357,-0.04039124611859804,-0.10743138868498364,-0.039727722715662835,-0.10585901166405247
