,GHLup,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.3786182715255908,-2.8468793715255907,-5.6327764347908955,-1.5370000000000008,-3.0052611000000007,-5.7911581632653055,-0.3199344751209834,-0.3199344751209834,0.10242090584092978,-0.45356581374559757,-0.45356581374559757,-0.03121043278368507,0.22178523805065814,0.2955001149683536,0.1992947733391338,0.2875633256183788
1,V,-2.5856182715255907,-3.7064282715255903,-5.833067251117427,-2.7440000000000007,-3.8648100000000003,-5.991448979591837,-0.3126460793384913,-0.3126460793384913,0.009762608418693475,-0.44627741796310527,-0.44627741796310527,-0.12386873020592049,0.15500276712911915,0.15500276712911915,0.14835976159590525,0.14835976159590525
2,I,-3.8586182715255903,-4.54007075152559,-5.833067251117427,-4.017,-4.69845248,-5.991448979591837,-0.18626187373767467,-0.18626187373767467,0.009762608418693475,-0.31989321236228907,-0.31989321236228907,-0.12386873020592049,0.09424168241450441,0.09424168241450477,0.0902027350503101,0.09020273505031036
3,J,-4.73061827152559,-5.05789479152559,-5.6788733735664065,-4.889,-5.21627652,-5.8372551020408165,-0.07829149887736797,-0.07829149887736797,0.015851837947730374,-0.21192283750198015,-0.21192283750198015,-0.11777950067688359,0.045224756910850226,0.0525046747054158,0.04463305937887778,0.04554590754525896
4,H,-5.26261827152559,-5.46548488152559,-5.850406536831713,-5.421,-5.62386661,-6.008788265306123,-0.05702296537599327,-0.05702296537599327,0.0013330071080570605,-0.19065430400060634,-0.19065430400060634,-0.13229833151655424,0.02778425075869269,0.021293281970375503,0.027663224186254998,0.012387332735633139
5,K,-5.4096182715255905,-5.54299466152559,-5.796064700097019,-5.5680000000000005,-5.70137639,-5.954446428571429,-0.051856976498039664,-0.051856976498039664,-0.01349034265493465,-0.1854883151226545,-0.1854883151226545,-0.1471216812795486,0.01811717488665532,-0.0029599514422097113,0.018306375567260946,-0.012656926236824989
