,KQSco,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.2629197950026576,-3.4140799049973425,-6.928712858058567,-0.45700000000000074,-4.1339997,-7.648632653061226,1.9736754820814695,1.9736754820814695,0.23892101052243842,1.2735919678203609,1.2735919678203609,-0.4611625037386702,0.48368300757781674,0.5236328091685014,0.4111224104704095,0.4617007178690771
1,V,-1.6740802049973418,-4.480950204997342,-7.163876123364689,-2.394,-5.20087,-7.883795918367348,1.5115907252810548,1.5115907252810548,0.18735067065584055,0.8115072110199457,0.8115072110199457,-0.5127328436052672,0.36345586871416724,0.36345586871416724,0.3113269209756884,0.3113269209756884
2,I,-3.826080204997342,-5.532657164997342,-7.163876123364689,-4.546,-6.252576960000001,-7.883795918367348,0.9924886238679695,0.9924886238679695,0.18735067065584055,0.29240510960686095,0.29240510960686095,-0.5127328436052672,0.22098116817821287,0.22098116817821317,0.18928676795321797,0.18928676795321797
3,J,-5.459080204997342,-6.278686244997342,-7.062100613160608,-6.179,-6.99860604,-7.782020408163266,0.5180120685581073,0.5180120685581073,0.13133397260754354,-0.18207144570300038,-0.18207144570300038,-0.5687495416535642,0.10061914306964836,0.07227063806685363,0.0962349243946572,0.018894872464114254
4,H,-6.266080204997342,-6.774123674997342,-7.259733266221832,-6.986000000000001,-7.49404347,-7.97965306122449,0.35411969741354987,0.35411969741354987,0.11443224752638592,-0.34596381684755784,-0.34596381684755784,-0.5856512667347191,0.06224344516206898,0.0248652194458355,0.05967585663699082,-0.04155396852125132
5,K,-6.537080204997342,-6.871097734997342,-7.190365919283057,-7.257000000000001,-7.59101753,-7.910285714285715,0.2748585502316132,0.2748585502316132,0.1172739837312129,-0.4252249640294954,-0.4252249640294954,-0.5828095305298948,0.04067377911095961,0.008632531604990251,0.039735012427870364,-0.06224739095304316
