,YSct,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.05006998575371213,-3.153024114246288,-5.935159606083021,0.11400000000000077,-3.089094099999999,-5.871229591836732,1.1714211394432335,1.1714211394432335,-0.06229797878467647,1.259629273172158,1.259629273172158,0.02591015494424731,0.13691142789485714,0.16191712826141852,0.15094976766393597,0.18009132639920827
1,V,-1.511930014246289,-3.957040014246289,-6.080807565266696,-1.4480000000000004,-3.8931100000000005,-6.016877551020407,0.8487570736930556,0.8487570736930556,-0.09301324556489021,0.9369652074219799,0.9369652074219799,-0.004805111835965548,0.09861363868506712,0.09861363868506712,0.11401112895797276,0.11401112895797276
2,I,-3.3029300142462885,-4.789556894246289,-6.080807565266696,-3.239,-4.72562688,-6.016877551020407,0.4795831085439404,0.4795831085439404,-0.09301324556489021,0.5677912422728646,0.5677912422728646,-0.004805111835965548,0.05995709232052053,0.059957092320520905,0.06931876640644742,0.06931876640644784
3,J,-4.565930014246288,-5.279902134246289,-5.900042259144247,-4.502,-5.21597212,-5.836112244897959,0.21371332295778966,0.21371332295778966,-0.061283610265530086,0.3019214566867161,0.3019214566867161,0.02692452346339458,0.03163992881580455,0.049524012840362924,0.03338222519045492,0.0648709783452305
4,H,-5.247930014246289,-5.6904949242462886,-6.074896850980982,-5.184,-5.62656491,-6.010966836734694,0.09361584109678667,0.09361584109678667,-0.07684458668890137,0.18182397482571222,0.18182397482571222,0.011363547040025956,0.01923254592814791,0.01813174241943509,0.020679418657032086,0.036570517806403205
5,K,-5.452930014246289,-5.743898104246289,-5.996626442817718,-5.389,-5.67996809,-5.932696428571429,0.044584979349509446,0.044584979349509446,-0.0674856886421864,0.13279311307843322,0.13279311307843322,0.02072244508673826,0.012923041992483522,0.019658901895643843,0.013582577584992102,0.03882105703630212
