,XXCen,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.2993315203240776,-3.4460138203240778,-5.9185407039975475,-2.0359999999999996,-3.1826822999999997,-5.6552091836734695,-1.1447723985169984,-1.1447723985169984,0.02727040514608703,-0.8574130188133908,-0.8574130188133908,0.3146297848496937,-0.1796328129199382,-0.1727800832058258,-0.16890994541818383,-0.16161786649835985
1,V,-3.2833315203240785,-4.158661520324078,-6.046086622364895,-3.0200000000000005,-3.8953300000000004,-5.7827551020408166,-0.8761635596022348,-0.8761635596022348,0.0185256034993575,-0.5888041798986277,-0.5888041798986277,0.3058849832029651,-0.13826179958503435,-0.13826179958503435,-0.12900400420756908,-0.12900400420756908
2,I,-4.366331520324079,-4.898532160324079,-6.0460866223648955,-4.103000000000001,-4.635200640000001,-5.782755102040817,-0.5254454076664112,-0.5254454076664112,0.018525603499356613,-0.2380860279628041,-0.2380860279628041,0.3058849832029642,-0.0840631741477011,-0.08406317414770154,-0.07843443455820193,-0.0784344345582022
3,J,-5.111331520324079,-5.366927880324079,-5.918056010119997,-4.848000000000001,-5.103596360000001,-5.654724489795919,-0.26422204764238977,-0.26422204764238977,-0.002972812016724724,0.023137332061219595,0.023137332061219595,0.28438656768688286,-0.04136208473444596,-0.059679812294986846,-0.04091730496947232,-0.04962479315026774
4,H,-5.572331520324078,-5.730766250324078,-6.072390193793466,-5.309,-5.46743473,-5.809058673469388,-0.15874430726655664,-0.15874430726655664,0.0031944312548324305,0.12861507243705272,0.12861507243705272,0.2905538109584427,-0.02552766423222532,-0.037192519787498254,-0.025376476196196762,-0.023774974646912306
5,K,-5.695331520324078,-5.7994957903240785,-6.024099377466936,-5.432,-5.53616427,-5.7607678571428576,-0.12375984766224857,-0.12375984766224857,-0.017291837253159414,0.16359953204135813,0.16359953204135813,0.2700675424504482,-0.016993705846039677,-0.048764440942543175,-0.016925110517584052,-0.0337377473683379
