,CPCep,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.30883290600095314,-3.054946606000953,-6.337506375388709,-0.4609999999999985,-3.2071136999999985,-6.489673469387754,1.1282206680089906,1.1282206680089906,0.22887338280370884,0.9979525138938594,0.9979525138938594,0.09860522868857746,0.4571914272003649,0.5101048446451653,0.4156449877120624,0.4797009036438985
1,V,-1.954832906000954,-4.0511029060009545,-6.556873722327485,-2.1069999999999993,-4.20327,-6.709040816326531,0.8477398156541711,0.8477398156541711,0.16121517045929945,0.7174716615390397,0.7174716615390397,0.030947016344168965,0.34041551220046695,0.34041551220046695,0.314642012423833,0.314642012423833
2,I,-3.758832906000954,-5.033365066000954,-6.556873722327485,-3.9109999999999996,-5.185532159999999,-6.709040816326531,0.578622154737781,0.578622154737781,0.16121517045929945,0.44835400062264963,0.44835400062264963,0.030947016344168965,0.2069726314178844,0.20697263141788472,0.19130234355369108,0.19130234355369152
3,J,-5.074832906000954,-5.686943746000954,-6.418628824368302,-5.226999999999999,-5.839110839999999,-6.570795918367347,0.34619933475021725,0.34619933475021725,0.1457341383533146,0.21593118063508765,0.21593118063508765,0.015465984238183239,0.09557197548082749,0.10298743821962314,0.09152991313707455,0.07735989948260563
4,H,-5.805832906000954,-6.185257776000954,-6.638802293756056,-5.957999999999999,-6.3374248699999995,-6.790969387755101,0.2205977008905009,0.2205977008905009,0.09633674011022997,0.0903295467753713,0.0903295467753713,-0.03393141400489874,0.05852734401408061,0.024271154571558762,0.05669916718031366,-0.006420163108691319
5,K,-5.994832906000954,-6.2442890360009535,-6.542475763143811,-6.146999999999999,-6.396456129999999,-6.694642857142856,0.20672615133499228,0.20672615133499228,0.125029718556803,0.07645799721986091,0.07645799721986091,-0.005238435558328369,0.038530022899246355,0.034835561914510926,0.03729553921309045,0.003020495082184292
