,V340Nor,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.8804412652366995,-3.2429198652366997,-5.900670857073435,-1.508000000000001,-2.870478600000001,-5.528229591836737,-0.708554107849598,-0.708554107849598,0.08320555050955303,-0.31221556984305154,-0.31221556984305154,0.4795440885160991,0.0038470023213635213,0.06979099838629337,0.011702978510196638,0.08894794370802195
1,V,-3.035441265236699,-4.075501265236699,-6.104318816257107,-2.6630000000000003,-3.7030600000000002,-5.731877551020409,-0.6040194201906353,-0.6040194201906353,0.00037726557970874097,-0.2076808821840892,-0.2076808821840892,0.3967158035862557,-0.009945878987003347,-0.009945878987003347,0.006025289961199609,0.006025289961199609
2,I,-4.238441265236699,-4.8707977452366995,-6.104318816257108,-3.8660000000000005,-4.498356480000001,-5.73187755102041,-0.36709591936866115,-0.36709591936866115,0.00037726557970874097,0.029242618637885354,0.029242618637885354,0.3967158035862548,-0.006047094424098513,-0.0060470944240981735,0.0036633762964096706,0.003663376296409504
3,J,-5.134441265236699,-5.438138785236699,-6.030553510134658,-4.7620000000000005,-5.0656975200000005,-5.65811224489796,-0.2521277237043016,-0.2521277237043016,-0.07564389145936001,0.14421081430224714,0.14421081430224714,0.32069464654718605,-0.0050309280900462106,-0.0788807339823574,-0.0025145306712368587,-0.061885302639205664
4,H,-5.674441265236699,-5.862692125236699,-6.229908101971393,-5.3020000000000005,-5.490250860000001,-5.8574668367346945,-0.22326261613316944,-0.22326261613316944,-0.11386681600873683,0.1730759218733784,0.1730759218733784,0.2824717219978128,-0.003943371090348632,-0.11597985147117072,-0.0016065280780000468,-0.09382135218026688
5,K,-5.820441265236699,-5.944208405236699,-6.185637693808127,-5.448,-5.57176714,-5.813196428571429,-0.21022655469758433,-0.21022655469758433,-0.13830334909091313,0.18611198330896173,0.18611198330896173,0.2580351889156338,-0.002558823724422843,-0.1397927730222541,-0.0012889332475686244,-0.11535634770552855
