,EVSct,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.0647405201267155,-2.706760979873285,-5.018193153342675,-0.11100000000000065,-2.882501500000001,-5.193933673469391,0.48866583413368114,0.48866583413368114,-0.6773991746957613,0.3424593365888231,0.3424593365888231,-0.8236056722406202,0.06990314625301797,0.0013078966590523988,0.16535154523682805,0.08191220595332871
1,V,-1.0812594798732835,-3.1969094798732836,-4.9613615206896124,-1.2569999999999997,-3.3726499999999997,-5.137102040816329,0.30324738485112346,0.30324738485112346,-0.5868785760873836,0.1570408873062652,0.1570408873062652,-0.7330850736322416,0.06037840265822947,0.06037840265822947,0.12912643851855332,0.12912643851855332
2,I,-2.6022594798732843,-3.888574679873284,-4.9613615206896124,-2.7780000000000005,-4.0643152,-5.137102040816329,-0.04568199183677102,-0.04568199183677102,-0.5868785760873845,-0.1918884893816295,-0.1918884893816295,-0.7330850736322416,0.036710068816204755,0.03671006881620442,0.07850887461928058,0.07850887461928047
3,J,-3.561259479873284,-4.1790292798732835,-4.694249275791652,-3.737,-4.3547698,-4.869989795918368,-0.198523856475759,-0.198523856475759,-0.45844063706980087,-0.3447303540206148,-0.3447303540206148,-0.6046471346146589,0.03357963996999447,0.0766574932311419,0.04558729970273501,0.14327256969870727
4,H,-4.054259479873283,-4.437192129873283,-4.756557949261039,-4.2299999999999995,-4.612932649999999,-4.932298469387755,-0.2257090664074335,-0.2257090664074335,-0.38682186533730256,-0.37191556395229064,-0.37191556395229064,-0.5330283628821579,0.021493109046082037,0.1107506142422286,0.028347799047307665,0.18770500787704913
5,K,-4.197259479873284,-4.449021829873284,-4.6589916227304276,-4.373,-4.62476235,-4.834732142857144,-0.25506522733842374,-0.25506522733842374,-0.3609902166901069,-0.40127172488328267,-0.40127172488328267,-0.507196714234964,0.015322005116083115,0.12200080568591337,0.019084316404142876,0.19947879984595718
