,RRLac,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.9216094090679352,-3.271394109067935,-5.350333898863855,-1.1899999999999995,-2.5397846999999993,-4.61872448979592,-1.0759084593171102,-1.0759084593171102,-0.0830058434086034,-0.31794359052654697,-0.31794359052654697,0.6749590253819591,-0.36139762428859146,-0.3474303701168311,-0.30955233514379654,-0.29577332347090624
1,V,-2.832609409067935,-3.862979409067935,-5.449956347843447,-2.100999999999999,-3.131369999999999,-4.718346938775511,-0.8577472537588431,-0.8577472537588431,-0.09980632558441105,-0.09978238496827974,-0.09978238496827974,0.6581585432061523,-0.27969177729623107,-0.27969177729623107,-0.2363599891108784,-0.2363599891108784
2,I,-3.8586094090679355,-4.485074369067935,-5.449956347843447,-3.127,-3.7534649599999996,-4.718346938775511,-0.5606344099144658,-0.5606344099144658,-0.09980632558441105,0.19733045887609713,0.19733045887609713,0.6581585432061523,-0.170052600596108,-0.17005260059610766,-0.1437068733794139,-0.143706873379413
3,J,-4.6166094090679355,-4.917477449067936,-5.380874715190385,-3.885,-4.18586804,-4.649265306122449,-0.39698389462027084,-0.39698389462027084,-0.17566514359333585,0.3609809741702943,0.3609809741702943,0.5822997251972275,-0.08168066659495965,-0.16933304888601955,-0.07604365255944512,-0.12434315238231786
4,H,-5.0556094090679355,-5.242106379067936,-5.529349204986303,-4.324,-4.51049697,-4.797739795918368,-0.3120590370892353,-0.3120590370892353,-0.17487172908966286,0.4459058317013289,0.4459058317013289,0.5830931397009032,-0.050869809907927166,-0.14273580885735965,-0.04717258098313826,-0.08577417915602714
5,K,-5.147609409067935,-5.2702234390679354,-5.459073694782221,-4.4159999999999995,-4.53861403,-4.7274642857142855,-0.2648185267248433,-0.2648185267248433,-0.1746235562720866,0.49314634206571917,0.49314634206571917,0.5833413125184768,-0.033019325565656316,-0.12698988789648236,-0.031513607112378605,-0.06543822893614759
