,TYSct,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.5910494421523591,-3.492155057847641,-6.06923117009254,1.0280000000000005,-3.0552044999999994,-5.632280612244899,1.7508730634499845,1.7508730634499845,-0.11185529105239755,2.2118118066392665,2.2118118066392665,0.34908345213688374,-0.10743380490922613,-0.11199415088138846,-0.06657147775316236,-0.07390860963324591
1,V,-1.097950557847641,-4.21490055784764,-6.182134231317029,-0.6609999999999996,-3.7779499999999993,-5.745183673469388,1.3165860720507498,1.3165860720507498,-0.10534396955412095,1.7775248152400316,1.7775248152400316,0.35559477363516123,-0.0822659151506311,-0.0822659151506311,-0.050234842567953686,-0.050234842567953686
2,I,-3.0909505578476413,-4.986056157847641,-6.18213423131703,-2.654,-4.5491056,-5.745183673469389,0.7591894957416399,0.7591894957416399,-0.10534396955412184,1.2201282389309216,1.2201282389309216,0.35559477363516034,-0.05001767641158379,-0.05001767641158422,-0.03054278428131535,-0.03054278428131557
3,J,-4.56095055784764,-5.47109995784764,-6.045532190500701,-4.123999999999999,-5.034149399999999,-5.60858163265306,0.29685440317569256,0.29685440317569256,-0.11834916897292924,0.7577931463649765,0.7577931463649765,0.34258957421635294,-0.022163811154779375,-0.04948602334624158,-0.018429313585416884,-0.016580169632817
4,H,-5.277950557847641,-5.8421185078476405,-6.1981878027456,-4.840999999999999,-5.405167949999999,-5.761237244897958,0.14705745908572698,0.14705745908572698,-0.11031187844475365,0.6079962022750101,0.6079962022750101,0.3506268647445312,-0.013759076017078986,-0.03785002246158342,-0.011439293370297199,0.0032678889614367046
5,K,-5.48695055784764,-5.85786760784764,-6.091968414990498,-5.049999999999999,-5.420917049999999,-5.655017857142856,0.09636141002991927,0.09636141002991927,-0.07284826492106067,0.5573001532192006,0.5573001532192006,0.3880904782682215,-0.008408686414745903,0.0027686710472796944,-0.0078354255951123,0.04678169170772861
