,V0459Cyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.15293105320960088,-2.9359179467903993,-5.742068946790403,0.3290000000000006,-2.7598489999999996,-5.566000000000003,1.0692845381793459,1.0692845381793459,-0.31953519440630984,1.2711764968567811,1.2711764968567811,-0.1176432357288757,0.26400741405390693,0.22414838952340033,0.32304737902934877,0.2739030605621765
1,V,-1.2810689467903984,-3.6389689467903983,-5.781068946790401,-1.1049999999999986,-3.4628999999999985,-5.605000000000001,0.7926848808319806,0.7926848808319806,-0.2674828539662295,0.9945768395094157,0.9945768395094157,-0.06559089528879447,0.20641029093419083,0.20641029093419083,0.24859708752965753,0.24859708752965753
2,I,-3.0450689467903995,-4.4786721467904,-5.781068946790402,-2.8689999999999998,-4.3026032,-5.605000000000002,0.3770991287910821,0.3770991287910821,-0.2674828539662304,0.5789910874685167,0.5789910874685167,-0.06559089528879536,0.12549745688798827,0.12549745688798788,0.15114702921803186,0.15114702921803136
3,J,-4.167068946790399,-4.855575746790399,-5.4810689467904,-3.9909999999999997,-4.6795067999999995,-5.305000000000001,0.19609601867221826,0.19609601867221826,-0.11347295988885886,0.39798797734965596,0.39798797734965596,0.08841899878857706,0.07020185829777581,0.18264613263927684,0.07347698106835304,0.22455398351015537
4,H,-4.809068946790399,-5.2358488467903985,-5.6235689467903995,-4.632999999999999,-5.059779899999999,-5.4475,0.08775501739124003,0.08775501739124003,-0.10413534260723623,0.28964697606867595,0.28964697606867595,0.09775661607020147,0.04352637606804166,0.15502365026001377,0.04554689985818282,0.20514730832585648
5,K,-4.9790689467904,-5.2596590467904,-5.5145689467903996,-4.803,-5.0835901,-5.3385,0.061283280690895836,0.061283280690895836,-0.06487667975009082,0.26317523936833,0.26317523936833,0.13701527892734422,0.02925693564808142,0.1765452192742327,0.02984657095588908,0.22845146310803663
