,RWCas,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.688423688538693,-3.296317688538693,-6.240005321191754,-2.1240000000000006,-3.7318940000000005,-6.675581632653062,-0.36035283358575887,-0.36035283358575887,0.08696704967857816,-0.7732088954578593,-0.7732088954578593,-0.32588901219352273,0.17206987960517506,0.18189758627735428,0.13748051252530108,0.15081555938588254
1,V,-2.917423688538692,-4.144823688538692,-6.39191348445706,-3.3529999999999998,-4.5804,-6.827489795918368,-0.2673930279349128,-0.2673930279349128,0.07407253180885576,-0.6802490898070137,-0.6802490898070137,-0.33878353006324424,0.13023674020986198,0.13023674020986198,0.10412713726788797,0.10412713726788797
2,I,-4.279423688538692,-5.025682888538692,-6.39191348445706,-4.715,-5.4612592,-6.827489795918368,-0.13353852851535564,-0.13353852851535564,0.07407253180885576,-0.5463945903874565,-0.5463945903874565,-0.33878353006324424,0.07918393804759541,0.07918393804759577,0.06330929945887553,0.06330929945887553
3,J,-5.2164236885386925,-5.574824488538693,-6.230974708946856,-5.652,-6.0104008,-6.666551020408163,-0.016803455369251985,-0.016803455369251985,0.0829044880759282,-0.4296595172413511,-0.4296595172413511,-0.3299515737961718,0.0367140785671876,0.055621745000359366,0.0339835407753305,0.028667942272741553
4,H,-5.783423688538693,-6.0055830885386925,-6.412306341599917,-6.219,-6.4411594,-6.847882653061225,0.00657983493455383,0.00657983493455383,0.0683851012481762,-0.4062762269375453,-0.4062762269375453,-0.34447096062392113,0.022605677950742753,0.03053646848475905,0.021075284019035134,-0.003349503086757244
5,K,-5.913423688538693,-6.059484288538693,-6.326887974252978,-6.349,-6.4950606,-6.762464285714286,0.045094354653389956,0.045094354653389956,0.08572875626289811,-0.3677617072187118,-0.3677617072187118,-0.3271273056092019,0.014868392448105228,0.041173356881213444,0.014144633682485586,0.00474142642728459
