,VWCen,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.0596867187217764,-2.9172274187217764,-5.998921412599326,-0.988999999999999,-2.846540699999999,-5.928234693877549,0.27783337426597,0.27783337426597,0.34880853717592863,0.3711691317375412,0.3711691317375412,0.44214429464749916,0.35627659242293686,0.3775193178971901,0.3080620642937472,0.33426668338459253
1,V,-2.3976867187217774,-3.8156567187217774,-6.1680948819870824,-2.327,-3.74497,-6.097408163265305,0.2655699492496564,0.2655699492496564,0.31974946292138107,0.35890570672122735,0.35890570672122735,0.4130852203929525,0.2712957689085997,0.2712957689085997,0.23439256316219442,0.23439256316219442
2,I,-3.875686718721777,-4.737812478721777,-6.168094881987083,-3.8049999999999997,-4.667125759999999,-6.097408163265306,0.2868083186089718,0.2868083186089718,0.3197494629213802,0.38014407608054235,0.38014407608054235,0.4130852203929516,0.16494782749642933,0.16494782749642878,0.142510678402615,0.14251067840261483
3,J,-4.991686718721777,-5.405733958721777,-6.092645902395246,-4.920999999999999,-5.33504724,-6.021959183673468,0.22713082188785538,0.22713082188785538,0.24295123987999911,0.3204665793594277,0.3204665793594277,0.3362869973515705,0.07033866429984903,0.040237351864465365,0.06399536454490873,0.004531557061629721
4,H,-5.6316867187217765,-5.8883392887217765,-6.314130596272797,-5.560999999999999,-5.817652569999999,-6.2434438775510195,0.1788159793768198,0.1788159793768198,0.18862247135140198,0.2721517368483921,0.2721517368483921,0.28195822882297605,0.042934307181180326,-0.027411577413714583,0.03960782280488284,-0.06857209615789933
5,K,-5.826686718721777,-5.995425148721777,-6.275365290150348,-5.755999999999999,-5.92473843,-6.204678571428571,0.15290395336724316,0.15290395336724316,0.15935131549417836,0.24623971083881369,0.24623971083881369,0.25268707296574977,0.027481778313489996,-0.06759819791217125,0.025810067864217856,-0.10896534692450649
