,VLac,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.5564749324426401,-2.9739604324426403,-5.082112687544679,-1.6440000000000001,-3.0614855000000003,-5.169637755102039,-0.8567651092561228,-0.8567651092561228,-0.13549010251071092,-0.9168345066155487,-0.9168345066155487,-0.19555949987013754,-0.23213411503362594,-0.23544377870532368,-0.21463813264502743,-0.21887671803054148
1,V,-2.4514749324426415,-3.533524932442641,-5.1428014630548855,-2.5390000000000015,-3.621050000000001,-5.2303265306122455,-0.6809551493373291,-0.6809551493373291,-0.1303635411347246,-0.7410245466967551,-0.7410245466967551,-0.19043293849415033,-0.177973706782376,-0.177973706782376,-0.1638179118924392,-0.1638179118924392
2,I,-3.506474932442641,-4.164361332442641,-5.1428014630548855,-3.594000000000001,-4.251886400000001,-5.2303265306122455,-0.4651232389219082,-0.4651232389219082,-0.13036354113472548,-0.5251926362813344,-0.5251926362813344,-0.19043293849415033,-0.10820801372368419,-0.10820801372368458,-0.09960129043060359,-0.0996012904306034
3,J,-4.25147493244264,-4.5674335324426405,-5.0373422793814155,-4.339,-4.6549586000000005,-5.1248673469387755,-0.328448628414868,-0.328448628414868,-0.1676758788197068,-0.3885180257742915,-0.3885180257742915,-0.22774527617913254,-0.05026061877582985,-0.10469893603851294,-0.04587717722039322,-0.09108816520998778
4,H,-4.701474932442641,-4.8973259824426405,-5.188605034483457,-4.789000000000001,-4.9848510500000005,-5.276130102040817,-0.27463767385655213,-0.27463767385655213,-0.17498059277188105,-0.334707071215977,-0.334707071215977,-0.23504999013130412,-0.03153374620974417,-0.09909543613726086,-0.02842859044433485,-0.08354798237889896
5,K,-4.785474932442641,-4.914238882442641,-5.1057427895854985,-4.873000000000001,-5.001763950000001,-5.1932678571428585,-0.22825705619819292,-0.22825705619819292,-0.16273665482208344,-0.28832645355761954,-0.28832645355761954,-0.22280605218150917,-0.02018777052532761,-0.07822457622082214,-0.01849391207561482,-0.06271946176057822
