,V0386Cyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,1.0075643610096314,-2.5509589389903686,-5.29179788388833,1.423,-2.1355233,-4.876362244897962,1.7382508236587086,1.7382508236587086,-0.2771274800265866,2.1809086883628943,2.1809086883628943,0.16553038467759862,0.34818527988938,0.33369404394318414,0.4132350678163453,0.3935561960237321
1,V,-0.5324356389903677,-3.2488656389903676,-5.341109108378125,-0.1169999999999991,-2.833429999999999,-4.925673469387756,1.2814418476935419,1.2814418476935419,-0.2570148726769128,1.7240997123977273,1.7240997123977273,0.1856429920272733,0.2658248194351042,0.2658248194351042,0.3164112201594562,0.3164112201594562
2,I,-2.4174356389903684,-4.069025078990368,-5.3411091083781255,-2.002,-3.6535894399999997,-4.925673469387757,0.6783668133083234,0.6783668133083234,-0.2570148726769137,1.121024678012509,1.121024678012509,0.1856429920272724,0.16162149021654482,0.16162149021654446,0.1923780218569496,0.19237802185694927
3,J,-3.677435638990368,-4.4706331989903685,-5.0815682920515926,-3.2619999999999996,-4.05519756,-4.666132653061224,0.30852357762103244,0.30852357762103244,-0.1407057847271389,0.7511814423252199,0.7511814423252199,0.3019520799770472,0.08627951382942906,0.16353243143177584,0.090585393611255,0.21449272799775568
4,H,-4.350435638990368,-4.842109468990368,-5.220805536949552,-3.9349999999999996,-4.4266738299999995,-4.805369897959183,0.1436023334850418,0.1436023334850418,-0.13485833290200944,0.5862601981892288,0.5862601981892288,0.30779953180217845,0.053387628146395444,0.1263745633152994,0.05613584929612575,0.18847344291772694
5,K,-4.572435638990369,-4.895690808990369,-5.144667781847511,-4.157,-4.48025517,-4.729232142857143,0.053862857878081094,0.053862857878081094,-0.12921349184600217,0.4965207225822663,0.4965207225822663,0.31344437285818305,0.03548219790561741,0.11079192392623521,0.03664118366607322,0.1760333725696357
