,AAGem,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.491634761167015,-2.799106461167015,-5.328063332595585,-1.6470000000000002,-2.9544717,-5.48342857142857,-0.31894709135422294,-0.31894709135422294,0.6575715977147834,-0.45042109019604415,-0.45042109019604415,0.526097598872961,-0.008487140128149218,0.02871040350254439,-0.11528940760739198,-0.06826322657560674
1,V,-2.571634761167015,-3.5697047611670154,-5.500206189738442,-2.7270000000000003,-3.7250700000000005,-5.655571428571427,-0.13909244659726383,-0.13909244659726383,0.6063416671958715,-0.2705664454390848,-0.2705664454390848,0.4748676683540509,-0.007148452145982365,-0.007148452145982365,-0.08959566210453968,-0.08959566210453968
2,I,-3.719634761167015,-4.326461321167015,-5.500206189738443,-3.875,-4.48182656,-5.655571428571428,0.1531177260096448,0.1531177260096448,0.6063416671958706,0.021643727167823368,0.021643727167823368,0.47486766835405003,-0.004346258904757039,-0.004346258904757705,-0.05447416255955995,-0.05447416255956006
3,J,-4.566634761167014,-4.858071201167014,-5.421777618309871,-4.7219999999999995,-5.0134364399999995,-5.5771428571428565,0.3173051213559539,0.3173051213559539,0.5349718825835499,0.18583112251413514,0.18583112251413514,0.40349788374172846,-0.016856169895904105,-0.0017442666226724635,-0.031252818901276236,-0.08271711950993743
4,H,-5.100634761167014,-5.2812854311670145,-5.630706189738443,-5.255999999999999,-5.43665067,-5.786071428571428,0.35228051939225224,0.35228051939225224,0.48720409398880893,0.2208065205504317,0.2208065205504317,0.35573009514699105,-0.010569741012823819,-0.016872701417332825,-0.01943245288818557,-0.11221385816236146
5,K,-5.1946347611670145,-5.313405091167015,-5.543134761167014,-5.35,-5.46877033,-5.698499999999999,0.4173651622339012,0.4173651622339012,0.5060718217752846,0.28589116339207976,0.28589116339207976,0.3745978229334632,-0.007941116035822371,0.013635655178284578,-0.013087916718066195,-0.08387090748241183
