,TWCMa,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.3678716489729652,-2.759969348972965,-5.194274710197453,-0.9129999999999985,-2.3050976999999984,-4.739403061224486,-0.4722902646705158,-0.4722902646705158,0.18262800643181354,0.008560937777225996,0.008560937777225996,0.6634792088795551,0.010270286922026778,-0.01015573555247809,0.0073800599749699325,-0.017737576182303205
1,V,-2.337871648972966,-3.4005416489729656,-5.258790016319903,-1.8829999999999991,-2.945669999999999,-4.803918367346936,-0.2931923303697439,-0.2931923303697439,0.20674528115875201,0.1876588720779977,0.1876588720779977,0.6875964836064936,0.014081709212233146,0.014081709212233146,0.007216425409418359,0.007216425409418359
2,I,-3.4828716489729654,-4.128975008972965,-5.258790016319904,-3.0279999999999987,-3.674103359999999,-4.803918367346937,-0.09721678665057398,-0.09721678665057398,0.20674528115875113,0.3836344157971676,0.3836344157971676,0.6875964836064927,0.008561679201038203,0.008561679201037675,0.004387586648925801,0.004387586648926023
3,J,-4.241871648972966,-4.552171288972966,-5.094779812238271,-3.786999999999999,-4.097299639999999,-4.6399081632653045,0.0790921991911393,0.0790921991911393,0.22507398175746118,0.5599434016388836,0.5599434016388836,0.7059251842052028,0.00026518913104564557,0.04689260949716806,-0.005109434642358357,0.04188706410149001
4,H,-4.726871648972966,-4.919214918972966,-5.255557873462762,-4.271999999999999,-4.46434327,-4.800686224489795,0.12488932522519569,0.12488932522519569,0.2153780329118531,0.6057405276729382,0.6057405276729382,0.6962292353595974,0.0003080974840520556,0.04649212970891667,-0.003218451121351884,0.043445832125571626
5,K,-4.832871648972966,-4.959329378972966,-5.180460934687251,-4.377999999999999,-4.5044577299999995,-4.7255892857142845,0.16115697366748272,0.16115697366748272,0.22064954943937387,0.6420081761152234,0.6420081761152234,0.7015007518871155,-0.0002663029749500889,0.054708583973143515,-0.002714408794182499,0.053946414623961436
