,RSCas,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.5507775583700383,-2.973895341629962,-5.220574482446289,0.9380000000000006,-2.5866728999999995,-4.833352040816327,1.3855412743977658,1.3855412743977658,0.022727245047663658,1.7992016003428375,1.7992016003428375,0.43638757099273473,-0.16381081420845892,-0.13850888404433093,-0.14586137086609696,-0.11711329907991092
1,V,-0.9282224416299609,-3.6188124416299607,-5.333834686527921,-0.5409999999999986,-3.2315899999999984,-4.946612244897959,1.0313309730938565,1.0313309730938565,-0.008985079845152733,1.4449912990389282,1.4449912990389282,0.40467524609991923,-0.13008866201695524,-0.13008866201695524,-0.11222639019505842,-0.11222639019505842
2,I,-2.6552224416299612,-4.291101161629961,-5.333834686527921,-2.267999999999999,-3.903878719999999,-4.946612244897959,0.6235270803417645,0.6235270803417645,-0.008985079845152733,1.0371874062868365,1.0371874062868365,0.40467524609991923,-0.07909390650630879,-0.07909390650630845,-0.06823364523859587,-0.06823364523859515
3,J,-3.9882224416299614,-4.773874721629961,-5.2746612171401654,-3.600999999999999,-4.386652279999999,-4.887438775510203,0.20918271626048757,0.20918271626048757,-0.0945895711977025,0.6228430422055613,0.6228430422055613,0.31907075474736946,-0.04018238979600408,-0.12465305845842813,-0.03714002541826822,-0.10574981428604979
4,H,-4.6452224416299615,-5.1322192316299615,-5.442638257956492,-4.257999999999999,-4.744996789999999,-5.05541581632653,0.07460069825001892,0.07460069825001892,-0.11369650733194181,0.48826102419509176,0.48826102419509176,0.2999638186131328,-0.02540196519872495,-0.12979206152378034,-0.023055608324229315,-0.10530438472478748
5,K,-4.8422224416299615,-5.162402651629962,-5.366490298772819,-4.454999999999999,-4.775180209999999,-4.979267857142856,0.016177451031549772,0.016177451031549772,-0.10762015926819224,0.42983777697662084,0.42983777697662084,0.3060401666768797,-0.01636561777123438,-0.11581614556205322,-0.01541736961956941,-0.08892918539125055
