,CRSer,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,1.4289823618823245,-2.9546444381176755,-5.114333964648289,0.7810000000000006,-3.6026267999999995,-5.7623163265306125,2.1644599312918054,2.1644599312918054,-0.08913871462915157,1.5436636886422392,1.5436636886422392,-0.7099349572787181,-0.19828280023356049,-0.18123188295211368,-0.216851495091548,-0.19492902582585148
1,V,-0.2100176381176766,-3.5562976381176767,-5.20491559730135,-0.8580000000000005,-4.204280000000001,-5.852897959183674,1.6105659145028581,1.6105659145028581,-0.10973839536046714,0.989769671853292,0.989769671853292,-0.7305346380100337,-0.15588734628855794,-0.15588734628855794,-0.16701868338841452,-0.16701868338841452
2,I,-2.168017638117677,-4.202555878117677,-5.204915597301351,-2.8160000000000007,-4.850538240000001,-5.852897959183675,0.9362066250364345,0.9362066250364345,-0.10973839536046803,0.3154103823868679,0.3154103823868679,-0.7305346380100346,-0.09477950654344283,-0.09477950654344322,-0.10154735950015481,-0.10154735950015592
3,J,-3.6000176381176763,-4.577131398117676,-5.058527842199309,-4.248,-5.22511376,-5.706510204081633,0.395675310369183,0.395675310369183,-0.10665354811090744,-0.22512093228038044,-0.22512093228038044,-0.7274497907604731,-0.043120204590166175,-0.0554131693766404,-0.04107346106310228,-0.06847533091081859
4,H,-4.3000176381176765,-4.905694318117677,-5.204094168729921,-4.948,-5.553676680000001,-5.852076530612245,0.20441416016340952,0.20441416016340952,-0.10696091992185153,-0.41638208248615527,-0.41638208248615527,-0.7277571625714154,-0.026888490691858474,-0.04418065309763504,-0.025414532339181117,-0.06305221054497223
5,K,-4.515017638117676,-4.913224958117676,-5.1094104952605335,-5.163,-5.56120732,-5.757392857142857,0.12196544669274711,0.12196544669274711,-0.08275076618098876,-0.49883079595681945,-0.49883079595681945,-0.7035470088305553,-0.017179907344274284,-0.012332043322884262,-0.016094763153059688,-0.0345178606857659
