,XYCas,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.5363680550413275,-2.7916509550413275,-4.603383361163773,-0.0799999999999983,-2.3352828999999984,-4.1470153061224435,0.10467697298872847,0.10467697298872847,0.2143675508405769,0.5889428047017332,0.5889428047017332,0.6986333825535818,-0.4127430858187203,-0.32530399843728364,-0.4202833444024856,-0.3173340068865227
1,V,-1.668368055041329,-3.389958055041329,-4.772959891776019,-1.2119999999999997,-2.9335899999999997,-4.31659183673469,0.020039179930178896,0.020039179930178896,0.10377244546594167,0.5043050116431833,0.5043050116431833,0.5880382771789465,-0.33102876319598845,-0.33102876319598845,-0.32465676084289485,-0.32465676084289485
2,I,-2.8853680550413277,-3.9320947750413278,-4.77295989177602,-2.4289999999999985,-3.4757267199999986,-4.316591836734691,0.05286262002019759,0.05286262002019759,0.10377244546594078,0.537128451733202,0.537128451733202,0.5880382771789456,-0.2012654880231603,-0.2012654880231608,-0.19739131059248027,-0.19739131059248016
3,J,-3.7893680550413285,-4.292072335041328,-4.695908871367858,-3.3329999999999993,-3.8357042799999994,-4.239540816326529,0.01447338938344167,0.01447338938344167,0.03892350291988489,0.4987392210964483,0.4987392210964483,0.5231893346328897,-0.10065497928173489,-0.149236031019187,-0.10107397604566881,-0.14130349861777447
4,H,-4.286368055041328,-4.597975845041328,-4.848299177490308,-3.829999999999999,-4.141607789999999,-4.3919311224489785,0.013201811629961924,0.013201811629961924,0.02835753269193475,0.49746764334296767,0.49746764334296767,0.5126233644049414,-0.06253386097956676,-0.11760754085486834,-0.0626924954305581,-0.1055223983989485
5,K,-4.409368055041329,-4.614237265041329,-4.778814483612757,-3.9529999999999994,-4.157869209999999,-4.3224464285714275,0.01702218694387536,0.01702218694387536,0.026986445542631188,0.5012880186568793,0.5012880186568793,0.511252277255636,-0.041195578135168366,-0.0965384595606008,-0.04165632714536016,-0.08191018937481842
