,RYCas,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.6758231120343687,-3.2907665120343688,-5.845644540605793,-0.6010000000000009,-3.215943400000001,-5.770821428571425,0.5380869584369066,0.5380869584369066,0.2305455467623574,0.6364906524239051,0.6364906524239051,0.3289492407493553,-0.10087357581870907,-0.08467908353857742,-0.13084124459901358,-0.11108595239313723
1,V,-2.046823112034369,-4.04296311203437,-5.993251683462938,-1.9720000000000013,-3.9681400000000013,-5.91842857142857,0.4434177992701547,0.4434177992701547,0.20865336287736902,0.541821493257153,0.541821493257153,0.3070570568643678,-0.0778964658099619,-0.0778964658099619,-0.10046219391473066,-0.10046219391473066
2,I,-3.593823112034368,-4.807476232034368,-5.993251683462938,-3.519,-4.73265312,-5.91842857142857,0.35139014020418236,0.35139014020418236,0.20865336287736902,0.4497938341911807,0.4497938341911807,0.3070570568643678,-0.04736105121245643,-0.04736105121245615,-0.06108101390015602,-0.06108101390015541
3,J,-4.821823112034369,-5.404695992034369,-5.974180254891511,-4.747000000000001,-5.329872880000001,-5.899357142857143,0.14586522681366887,0.14586522681366887,0.07731401138697525,0.24426892080066942,0.24426892080066942,0.17571770537397402,-0.030804040987327655,-0.12940739823950223,-0.03273522669673701,-0.15109495496241282
4,H,-5.445823112034368,-5.807124452034368,-6.16012668346294,-5.371,-5.73230134,-6.085303571428572,0.09652003418572619,0.09652003418572619,0.05402767119863139,0.19492372817272585,0.19492372817272585,0.15243136518563283,-0.019418513115550075,-0.1330884769382597,-0.02031928340998318,-0.15784631070484434
5,K,-5.623823112034368,-5.861363772034368,-6.093448112034368,-5.549,-5.78654066,-6.018625,0.08010637733967751,0.08010637733967751,0.05216940940893533,0.1785100713266754,0.1785100713266754,0.150573103395935,-0.01291593704283698,-0.12626391723852304,-0.013488959658496169,-0.1509409928381935
