,RSOri,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.6259084012724028,-3.1153260012724027,-5.505780850251993,-1.952,-3.4414176,-5.83187244897959,-0.6849491323741232,-0.6849491323741232,-0.029194432506700174,-0.9854031520000084,-0.9854031520000084,-0.3296484521325862,-0.11117737059300081,-0.15115485724703842,-0.12228525262037987,-0.16883719895033178
1,V,-2.5879084012724025,-3.7248684012724027,-5.5496430951499525,-2.9139999999999997,-4.05096,-5.87573469387755,-0.4797140951345322,-0.4797140951345322,0.02086201163449264,-0.7801681147604178,-0.7801681147604178,-0.2795920079913925,-0.07682885153857694,-0.07682885153857694,-0.09162644107398504,-0.09162644107398504
2,I,-3.748908401272402,-4.440180081272402,-5.5496430951499525,-4.074999999999999,-4.766271679999999,-5.87573469387755,-0.28348826128107474,-0.28348826128107474,0.02086201163449264,-0.5839422809069603,-0.5839422809069603,-0.2795920079913925,-0.04671194173545484,-0.04671194173545449,-0.0557088761729832,-0.055708876172983146
3,J,-4.512908401272402,-4.844900721272403,-5.377734931884647,-4.8389999999999995,-5.17099232,-5.703826530612244,-0.09975371207304029,-0.09975371207304029,0.046414511103515466,-0.40020773169892276,-0.40020773169892276,-0.2540395085223697,-0.022161555182835142,0.005585853735170183,-0.023778474050505316,-0.00992494256701043
4,H,-4.983908401272402,-5.1896981612724025,-5.5199823808642385,-5.31,-5.51578976,-5.846073979591836,-0.0337046556008298,-0.0337046556008298,0.05689961972436475,-0.33415867522671405,-0.33415867522671405,-0.24355439990151773,-0.013473765011155873,0.0256946656400317,-0.01471585464181549,0.005828569225022895
5,K,-5.084908401272402,-5.220206641272402,-5.437354829843831,-5.411,-5.54629824,-5.763446428571428,0.010316880685240726,0.010316880685240726,0.06988543739075492,-0.2901371389406444,-0.2901371389406444,-0.23056858223513021,-0.008867659512721796,0.043829134765744064,-0.009471352675378159,0.02218704157659057
