,FMAql,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.3472570918985447,-2.8394927918985444,-5.537129540878136,-0.9809999999999999,-3.4732356999999996,-6.170872448979591,0.47060012083976477,0.47060012083976477,-0.33096711231426834,-0.13657749306587408,-0.13657749306587408,-0.9381447262199076,0.2278820539662133,0.20440240206387109,0.24679365416341448,0.21968259696871928
1,V,-1.6232570918985445,-3.5257270918985446,-5.584991785776095,-2.2569999999999997,-4.15947,-6.2187346938775505,0.3126324531837925,0.3126324531837925,-0.2992509309032556,-0.29454516072184656,-0.29454516072184656,-0.9064285448088949,0.17528710035435482,0.17528710035435482,0.18881427236248483,0.18881427236248483
2,I,-3.1762570918985444,-4.332958851898544,-5.584991785776095,-3.8099999999999996,-4.966701759999999,-6.2187346938775505,0.07277416662166925,0.07277416662166925,-0.2992509309032556,-0.5344034472839696,-0.5344034472839696,-0.9064285448088949,0.10657455701544732,0.10657455701544771,0.11479907759639085,0.11479907759639063
3,J,-4.0992570918985445,-4.6547783318985445,-5.256083622510789,-4.733,-5.28852124,-5.889826530612244,0.06380039264619697,0.06380039264619697,-0.11486955550722033,-0.5433772212594397,-0.5433772212594397,-0.7220471694128587,0.06262993405846072,0.20017238799438056,0.06491254095523824,0.2112370018815778
4,H,-4.658257091898544,-5.002604161898544,-5.375331071490381,-5.291999999999999,-5.636347069999999,-6.009073979591836,0.024889083981056714,0.024889083981056714,-0.08586180853869863,-0.5822885299245808,-0.5822885299245808,-0.6930394224443353,0.039199050098385604,0.19400620755176168,0.040303219311587535,0.20339380669031448
5,K,-4.818257091898544,-5.044651021898544,-5.289703520469972,-5.451999999999999,-5.6783939299999995,-5.9234464285714274,0.002439816834503894,0.002439816834503894,-0.07037430587185511,-0.6047377970711354,-0.6047377970711354,-0.6775519197774935,0.02613261196091092,0.19309958718352446,0.02708550281841471,0.1996917619939591
