,YLac,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.7598834791199796,-2.6780755791199793,-4.657255928099574,-2.183,-3.1011920999999996,-5.0803724489795945,-1.1421264479522466,-1.1421264479522466,0.10933716243532654,-1.5371696904112742,-1.5371696904112742,-0.2857060800237017,-0.24903623199004388,-0.25923381840157955,-0.28610573114344084,-0.29650066515135287
1,V,-2.48988347911998,-3.19079347911998,-4.701618172997533,-2.9130000000000003,-3.61391,-5.124734693877553,-0.8340722288135067,-0.8340722288135067,0.12124350430677833,-1.2291154712725343,-1.2291154712725343,-0.273799738152249,-0.18679160631791367,-0.18679160631791367,-0.21818191803095865,-0.21818191803095865
2,I,-3.356883479119981,-3.7830367591199807,-4.7016181729975335,-3.780000000000001,-4.206153280000001,-5.124734693877554,-0.45958846143035537,-0.45958846143035537,0.12124350430677744,-0.8546317038893831,-0.8546317038893831,-0.2737997381522499,-0.11356929664129085,-0.11356929664129131,-0.13265460616282304,-0.13265460616282382
3,J,-3.9278834791199797,-4.13254919911998,-4.573710009732225,-4.351,-4.55566572,-4.996826530612245,-0.17135450939265917,-0.17135450939265917,0.1075976846784652,-0.5663977518516843,-0.5663977518516843,-0.28744555778056213,-0.057478883335592715,-0.05384933204565345,-0.0608435480324398,-0.08589675764216453
4,H,-4.31788347911998,-4.444748189119981,-4.7182074587118175,-4.7410000000000005,-4.867864710000001,-5.141323979591838,-0.06883458700733858,-0.06883458700733858,0.10407756068743357,-0.46387782946636413,-0.46387782946636413,-0.2909656817715911,-0.0355394540441461,-0.030267716672274847,-0.037699198767813746,-0.06999926371811888
5,K,-4.4088834791199805,-4.492291769119981,-4.672079907691409,-4.832000000000001,-4.915408290000001,-5.0951964285714295,-0.03442751096985397,-0.03442751096985397,0.07925506127145976,-0.4294707534288822,-0.4294707534288822,-0.31578818118756846,-0.023862960457448346,-0.0412701100655431,-0.02452699804361702,-0.08355485052793377
