,SSSct,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.9089967456306294,-2.2841692456306295,-4.6618793986918545,-1.282,-2.6571725,-5.034882653061225,-0.38571746750755953,-0.38571746750755953,-0.10282996473109396,-0.7299354452953002,-0.7299354452953002,-0.44704794251883584,0.17792019270441334,0.18947821424596584,0.17574563829552087,0.19019616763382807
1,V,-1.8559967456306286,-2.9057467456306285,-4.720792663997976,-2.228999999999999,-3.278749999999999,-5.093795918367347,-0.3324250953050849,-0.3324250953050849,-0.1164804366970964,-0.6766430730928255,-0.6766430730928255,-0.4606984144848365,0.13229054083030622,0.13229054083030622,0.13319557091873546,0.13319557091873546
2,I,-2.9789967456306288,-3.6172447456306287,-4.720792663997976,-3.3519999999999994,-3.9902479999999994,-5.093795918367347,-0.24777478913075335,-0.24777478913075335,-0.1164804366970964,-0.5919927669184943,-0.5919927669184943,-0.4606984144848365,0.08043264882482595,0.08043264882482637,0.08098290711859091,0.08098290711859085
3,J,-3.6929967456306283,-3.9995237456306283,-4.529517153793893,-4.065999999999999,-4.372526999999999,-4.902520408163264,-0.1284111331110438,-0.1284111331110438,-0.06535529279750918,-0.47262911089878124,-0.47262911089878124,-0.40957327058525017,0.042508765886913144,0.07597767977601903,0.04380903462191277,0.07564569491298323
4,H,-4.136996745630628,-4.327001495630628,-4.6555248068551185,-4.509999999999999,-4.700004749999999,-5.028528061224489,-0.09290786730302347,-0.09290786730302347,-0.0538218840949769,-0.4371258450907618,-0.4371258450907618,-0.39803986188271523,0.026471091064898408,0.0667091300668398,0.027189655195510476,0.06431689560910814
5,K,-4.228996745630629,-4.3539169956306285,-4.569907459916343,-4.601999999999999,-4.726920249999999,-4.942910714285714,-0.06523444628130459,-0.06523444628130459,-0.03953703190695457,-0.4094524240690456,-0.4094524240690456,-0.38375500969469467,0.017675108659216364,0.07064090275123415,0.018211628066545527,0.0665403054831748
