,STTau,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.0751186747613026,-2.632237074761303,-4.687644184965382,-1.1829999999999998,-2.7401184,-4.7955255102040795,-0.497380616103797,-0.497380616103797,-0.008962625128996038,-0.5768870740934477,-0.5768870740934477,-0.08846908311864787,-0.16656306540180477,-0.21421836785403248,-0.16931430558047572,-0.22562083953844392
1,V,-1.922118674761304,-3.110758674761304,-4.679771735985792,-2.030000000000001,-3.218640000000001,-4.787653061224489,-0.3223215944139586,-0.3223215944139586,0.05051656663550741,-0.4018280524036095,-0.4018280524036095,-0.028989891354143538,-0.1172848701012979,-0.1172848701012979,-0.12692461347627418,-0.12692461347627418
2,I,-3.0031186747613035,-3.725811794761303,-4.679771735985793,-3.1110000000000007,-3.8336931200000004,-4.78765306122449,-0.17616903528256822,-0.17616903528256822,0.05051656663550652,-0.25567549327221917,-0.25567549327221917,-0.028989891354144426,-0.0713092010215884,-0.07130920102158886,-0.07717016499357407,-0.07717016499357454
3,J,-3.789118674761303,-4.136201554761303,-4.594353368638854,-3.8970000000000002,-4.244082880000001,-4.702234693877551,-0.11389324674698065,-0.11389324674698065,-0.0050245037205352006,-0.19339970473662893,-0.19339970473662893,-0.08453096171018615,-0.036859885439543535,-0.08381358835299092,-0.03682742625888462,-0.0935074643980539
4,H,-4.243118674761304,-4.458262514761303,-4.742253878842936,-4.351000000000001,-4.5661438400000005,-4.850135204081633,-0.08088693158616511,-0.08088693158616511,-0.013403224436211225,-0.16039338957581428,-0.16039338957581428,-0.09290968242585951,-0.02301219966083377,-0.07652049081942561,-0.022828743816320232,-0.08830583746046672
5,K,-4.353118674761303,-4.4945668347613035,-4.681279389047017,-4.461,-4.602448160000001,-4.789160714285714,-0.06790852235186495,-0.06790852235186495,-0.023540781186978776,-0.1474149803415168,-0.1474149803415168,-0.10304723917662884,-0.015197399970719071,-0.07845348675607872,-0.01492551959679217,-0.09081339555505441
