,V1344Aql,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.5816095881217258,-2.891899388121726,-5.443982037101318,-2.0280000000000005,-4.3382898,-6.890372448979592,0.3525280383450047,0.3525280383450047,0.017618962717961928,-1.068173385536794,-1.068173385536794,-1.4030824611638382,0.06516680725205168,0.16230788314616396,-0.011029471310000094,0.10891938141394797
1,V,-1.946609588121726,-3.710189588121726,-5.658344281999277,-3.3930000000000007,-5.156580000000001,-7.1047346938775515,0.1520365308790672,0.1520365308790672,-0.10361925204233913,-1.2686648930027316,-1.2686648930027316,-1.5243206759241383,0.029634784741468037,0.029634784741468037,-0.014605441687557619,-0.014605441687557619
2,I,-3.401609588121726,-4.473866228121726,-5.658344281999277,-4.848000000000001,-5.920256640000001,-7.1047346938775515,0.05181946397387538,0.05181946397387538,-0.10361925204233913,-1.3688819599079234,-1.3688819599079234,-1.5243206759241383,0.01801794912281192,0.018017949122812335,-0.008880108546034826,-0.008880108546035714
3,J,-4.433609588121726,-4.948574948121726,-5.517436118733971,-5.880000000000001,-6.3949653600000005,-6.963826530612246,-0.03431391766260905,-0.03431391766260905,-0.10896540627565976,-1.4550153415444056,-1.4550153415444056,-1.529666830157458,0.010688306532750144,-0.008947989071219242,0.011778541658184372,-0.05716566256856881
4,H,-4.983609588121726,-5.302817568121726,-5.655433567713563,-6.430000000000001,-6.74920798,-7.101823979591837,-0.0482047118320903,-0.0482047118320903,-0.09447840854086476,-1.4689061357138877,-1.4689061357138877,-1.5151798324226604,0.006739042460087302,-0.0031926741966723515,0.0074075106177531325,-0.06778362116517678
5,K,-5.122609588121726,-5.332475608121726,-5.564306016693155,-6.569000000000001,-6.778866020000001,-7.010696428571429,-0.04259716659770074,-0.04259716659770074,-0.07302020476534832,-1.4632985904795,-1.4632985904795,-1.4937216286471466,0.004871392113243861,0.014514616851010742,0.006159944299798825,-0.05800397934505086
