,SZCyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.6694162650736395,-3.0854885650736392,-6.273676469155274,-0.5920000000000005,-3.0080723000000003,-6.196260204081635,0.6709149296880434,0.6709149296880434,0.0802287581045027,0.7709590486374935,0.7709590486374935,0.18027287705395167,0.40589610007480686,0.41453219486907883,0.39887244518914833,0.4090914744436065
1,V,-2.1474162650736393,-3.991746265073639,-6.425477489563436,-2.0700000000000003,-3.91433,-6.348061224489797,0.5197750749460948,0.5197750749460948,0.06886960045484258,0.6198191938955446,0.6198191938955446,0.16891371940429334,0.3089062723960284,0.3089062723960284,0.3041888745001,0.3041888745001
2,I,-3.8244162650736397,-4.94576890507364,-6.425477489563437,-3.7470000000000008,-4.868352640000001,-6.348061224489798,0.3430201289455228,0.3430201289455228,0.0688696004548417,0.4430642478949727,0.4430642478949727,0.16891371940429156,0.18781501361678446,0.187815013616784,0.18494683569606163,0.18494683569606044
3,J,-4.94441626507364,-5.482960625073639,-6.19361014262466,-4.867000000000001,-5.40554436,-6.116193877551021,0.2801123799447405,0.2801123799447405,0.14844798139329463,0.3801564988941921,0.3801564988941921,0.24849210034274538,0.09096701082343711,0.17792431519636626,0.08714587200065091,0.17367118758852035
4,H,-5.618416265073639,-5.952239995073639,-6.392745346706293,-5.541,-5.87482373,-6.315329081632654,0.1981848365090535,0.1981848365090535,0.11657094562613679,0.29822895545850425,0.29822895545850425,0.2166150645755902,0.056004820047299134,0.11537580675275483,0.05397977453976635,0.11099077824823961
5,K,-5.804416265073639,-6.0238915350736395,-6.313505550787925,-5.727,-5.9464752700000005,-6.236089285714286,0.1814434103207736,0.1814434103207736,0.12778565885631554,0.28148752927022347,0.28148752927022347,0.2278297778057654,0.03664977192431884,0.10871015886438642,0.03529965317861017,0.10474025622681699
