,LSPup,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.3672781770569102,-3.32213877705691,-5.9589618505263,-1.6109999999999989,-3.565860599999999,-6.202683673469388,-0.06498594981898731,-0.06498594981898731,0.3113814147078342,-0.2857932516652879,-0.2857932516652879,0.09057411286153272,-0.06949897978564931,-0.05978651355596526,-0.12827778548936505,-0.11486469794933742
1,V,-2.6042781770569103,-4.09653817705691,-6.109380217873238,-2.847999999999999,-4.340259999999999,-6.353102040816327,0.009670386892020932,0.009670386892020932,0.29697371859188504,-0.2111369149542801,-0.2111369149542801,0.07616641674558444,-0.0517184225617453,-0.0517184225617453,-0.09842129855666,-0.09842129855666
2,I,-3.978278177056911,-4.885572257056911,-6.109380217873238,-4.2219999999999995,-5.129294079999999,-6.353102040816327,0.12229329291836688,0.12229329291836688,0.29697371859188504,-0.09851400892793372,-0.09851400892793372,0.07616641674558444,-0.03144480091754126,-0.03144480091754098,-0.05984014952244984,-0.05984014952244937
3,J,-4.958278177056911,-5.394018097056911,-5.981767972975279,-5.202,-5.63773992,-6.225489795918367,0.18896955371518143,0.18896955371518143,0.27286212657154163,-0.031837748131117394,-0.031837748131117394,0.05205482472524192,-0.022033017027049517,-0.004089879746937447,-0.02957168909612566,-0.050474423149750675
4,H,-5.534278177056911,-5.804377237056911,-6.168701646444666,-5.778,-6.048099059999999,-6.412423469387755,0.19980119790985817,0.19980119790985817,0.25180310094753366,-0.021006103936441534,-0.021006103936441534,0.03099579910123662,-0.01365741116108174,-0.0038107034321594735,-0.018348952536148187,-0.05927324655978858
5,K,-5.699278177056911,-5.876857117056911,-6.116385319914054,-5.943,-6.12057894,-6.360107142857142,0.20175126723339432,0.20175126723339432,0.23594036370567828,-0.01905603461290628,-0.01905603461290628,0.015133061859378572,-0.009745163261207446,-0.010982629367000424,-0.012084212723912741,-0.06840506793997042
