,RYSco,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.0146926476505342,-4.052766047650534,-6.906350810915843,-0.7959999999999994,-3.8340733999999994,-6.687658163265308,0.4967447537153524,0.4967447537153524,-0.17656865351380446,0.7367757738511083,0.7367757738511083,0.06346236662195093,-0.11084806721518187,-0.19850157023624387,-0.07157587627535693,-0.17700599073202594
1,V,-2.4586926476505333,-4.777832647650533,-6.956141627242372,-2.2399999999999984,-4.559139999999998,-6.7374489795918375,0.4479943999449043,0.4479943999449043,-0.06598530023002525,0.6880254200806597,0.6880254200806597,0.17404571990573103,-0.06820596903213291,-0.06820596903213291,-0.050110371485421135,-0.050110371485421135
2,I,-4.221692647650534,-5.631729767650534,-6.956141627242372,-4.002999999999999,-5.413037119999999,-6.7374489795918375,0.24651435747633155,0.24651435747633155,-0.06598530023002525,0.48654537761208694,0.48654537761208694,0.17404571990573103,-0.0414692291715371,-0.041469229171536746,-0.030467105863136112,-0.030467105863135557
3,J,-5.477692647650534,-6.154881527650534,-6.790947749691351,-5.2589999999999995,-5.93618888,-6.572255102040816,0.09445963019456283,0.09445963019456283,-0.05562244225651636,0.3344906503303209,0.3344906503303209,0.1844085778792408,-0.018236568303560394,-0.01735745753286439,-0.01645163173191752,0.0011603894558471495
4,H,-6.111692647650534,-6.531456987650534,-6.925730912956657,-5.892999999999999,-6.312764339999999,-6.707038265306122,0.07610621567109543,0.07610621567109543,-0.016924110060567266,0.3161372358068526,0.3161372358068526,0.22310691007519257,-0.01066007145181001,0.02544610097298173,-0.010181218642331319,0.04847254457590164
5,K,-6.333692647650534,-6.609670307650534,-6.868889076221963,-6.114999999999999,-6.390977659999999,-6.650196428571428,0.03374886327911941,0.03374886327911941,-0.027414721041696843,0.2737798834148748,0.2737798834148748,0.21261629909405855,-0.0070713620259955715,0.017965697212605942,-0.006880871600896898,0.0425256190600857
