,VZPup,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.1686356707164602,-4.0938771707164605,-6.609936691124625,-2.4560000000000013,-4.381241500000002,-6.897301020408166,-0.5813783067458838,-0.5813783067458838,0.2864026903135617,-0.84797565386811,-0.84797565386811,0.019805343191334757,-0.4115272967463719,-0.46231311474328224,-0.4688770059551881,-0.5271763038880428
1,V,-3.327635670716459,-4.797285670716459,-6.717941793165441,-3.615,-5.08465,-7.005306122448982,-0.3148241525202722,-0.3148241525202722,0.34760408950983823,-0.5814214996424987,-0.5814214996424987,0.08100674238761307,-0.30043524740580624,-0.30043524740580624,-0.3554295981927486,-0.3554295981927486
2,I,-4.65663567071646,-5.55018287071646,-6.717941793165441,-4.944000000000001,-5.837547200000001,-7.005306122448982,-0.05515228164446917,-0.05515228164446917,0.3476040895098391,-0.3217496287666961,-0.3217496287666961,0.08100674238761307,-0.18266463042273162,-0.18266463042273057,-0.21610119570119207,-0.21610119570119157
3,J,-5.588635670716459,-6.01777347071646,-6.578605058471561,-5.876,-6.305137800000001,-6.8659693877551025,0.13755433237840542,0.13755433237840542,0.33098337905119735,-0.12904301474381885,-0.12904301474381885,0.06438603192897219,-0.09551667310935313,-0.06323618717748142,-0.1046595448880037,-0.11787895989556556
4,H,-6.131635670716459,-6.397642320716459,-6.745281078879725,-6.4190000000000005,-6.68500665,-7.032645408163266,0.2206470004841723,0.2206470004841723,0.34054651229162225,-0.045950346638052864,-0.045950346638052864,0.07394916516939887,-0.05854994262957919,-0.0020681096194049564,-0.06487167336996837,-0.06744283697110005
5,K,-6.29163567071646,-6.466524020716459,-6.695082099287888,-6.579000000000001,-6.75388835,-6.982446428571429,0.24489100126661079,0.24489100126661079,0.32371996206819365,-0.02170634585561615,-0.02170634585561615,0.0571226149459676,-0.03948434314371885,0.006151595117278252,-0.04270740363911975,-0.06156399722480245
