,RSPup,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.6128731449056506,-4.5465772449056505,-7.695806818375038,-2.865,-4.7987041,-7.947933673469388,-0.6898859226689287,-0.6898859226689287,-0.06195410538318846,-0.923775904901277,-0.923775904901277,-0.2958440876155377,-0.10404284988297927,-0.08695020243304713,-0.10672438644434812,-0.08591546498160946
1,V,-4.044873144905651,-5.520983144905651,-7.924975185721977,-4.297000000000001,-5.773110000000001,-8.177102040816326,-0.5621437812058643,-0.5621437812058643,-0.08280651610224599,-0.7960337634382131,-0.7960337634382131,-0.31669649833459257,-0.08366348474114625,-0.08366348474114625,-0.08258292361321101,-0.08258292361321101
2,I,-5.565873144905651,-6.463348024905651,-7.924975185721978,-5.8180000000000005,-6.71547488,-8.177102040816328,-0.3742435732852467,-0.3742435732852467,-0.08280651610224687,-0.6081335555175951,-0.6081335555175951,-0.31669649833459435,-0.05086739872261618,-0.050867398722616586,-0.05021041755683098,-0.05021041755683264
3,J,-6.61487314490565,-7.04589726490565,-7.747862940824017,-6.867,-7.29802412,-7.999989795918367,-0.20660599630524512,-0.20660599630524512,-0.0666395148949892,-0.4404959785375926,-0.4404959785375926,-0.30052949712733756,-0.02223386037248269,-0.018056377308555,-0.020759024552952476,-0.017827294375591274
4,H,-7.227873144905651,-7.4950490549056505,-7.930171614293406,-7.48,-7.74717591,-8.182298469387757,-0.14725820329477735,-0.14725820329477735,-0.06049815831102201,-0.3811481855271248,-0.3811481855271248,-0.2943881405433686,-0.013763269632412006,-0.006977482934431317,-0.012844449014029702,-0.00807192407454893
5,K,-7.4078731449056505,-7.58353023490565,-7.869605287762794,-7.66,-7.83565709,-8.121732142857145,-0.1226394674688418,-0.1226394674688418,-0.06559833292151307,-0.35652944970119194,-0.35652944970119194,-0.29948831515386143,-0.008952872988164134,-0.00841972488435308,-0.008190576976745467,-0.01066645990637366
