,MWCyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.3587034163608962,-3.0455789163608964,-5.735718722483348,0.4129999999999985,-2.2738755000000017,-4.9640153061224535,0.44387491303657556,0.44387491303657556,-0.5631201247128326,1.2422587674920849,1.2422587674920849,0.23526372974267673,0.18465821173401054,0.19423167631210436,0.3116074839130075,0.3182391026666608
1,V,-1.716703416360895,-3.767753416360895,-5.821295253095591,-0.9450000000000003,-2.9960500000000003,-5.049591836734696,0.19780042302845713,0.19780042302845713,-0.5708980790703277,0.9961842774839664,0.9961842774839664,0.22748577538518244,0.13287606373915106,0.13287606373915106,0.2377695393571867,0.2377695393571867
2,I,-3.325703416360896,-4.572741816360896,-5.821295253095592,-2.554000000000001,-3.8010384000000013,-5.049591836734697,-0.10352938979426662,-0.10352938979426662,-0.5708980790703286,0.6948544646612422,0.6948544646612422,0.22748577538518155,0.08078864675340425,0.08078864675340403,0.14456387992916983,0.14456387992916953
3,J,-4.400703416360895,-4.999610016360895,-5.599244232687426,-3.6290000000000004,-4.227906600000001,-4.827540816326532,-0.2686868919185743,-0.2686868919185743,-0.4931468545314184,0.5296969625369368,0.5296969625369368,0.3052369999240909,0.05299945531895034,0.04903013123091515,0.06713237403408262,0.15427687647972238
4,H,-4.990703416360896,-5.361943466360896,-5.733634538809876,-4.219000000000001,-4.590240050000001,-4.9619311224489815,-0.3407032461730024,-0.3407032461730024,-0.4798376750528819,0.45768060828250867,0.45768060828250867,0.3185461794026301,0.03238895917583828,0.017605736692393792,0.04160340242494054,0.14518218189406176
5,K,-5.158703416360895,-5.402778366360895,-5.647149844932324,-4.3870000000000005,-4.63107495,-4.875446428571429,-0.37207975643530755,-0.37207975643530755,-0.4635548781850627,0.42630409802020175,0.42630409802020175,0.3348289762704466,0.022616146543571913,0.015107336191760412,0.02707346215263373,0.14860128658704083
