,RZVel,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.5777051734058762,-3.8470951734058763,-6.664771499936488,-2.389000000000001,-3.658390000000001,-6.476066326530613,-1.06409096333425,-1.06409096333425,0.06979255398502016,-0.8540638221918335,-0.8540638221918335,0.2798196951274363,-0.09819450121627857,-0.10004847470320513,-0.09793980946043218,-0.10056383033866162
1,V,-3.7037051734058757,-4.672705173405876,-6.8236031325895485,-3.5150000000000006,-4.484000000000001,-6.634897959183673,-0.7939712676538315,-0.7939712676538315,0.07158866923110807,-0.5839441265114154,-0.5839441265114154,0.2816158103735251,-0.07381617368164498,-0.07381617368164498,-0.07443418696614257,-0.07443418696614257
2,I,-4.9267051734058755,-5.515857173405876,-6.8236031325895485,-4.738,-5.327152000000001,-6.634897959183673,-0.45467177239493584,-0.45467177239493584,0.07158866923110807,-0.24464463125251967,-0.24464463125251967,0.2816158103735251,-0.0448802335984405,-0.044880233598440136,-0.045255985675414834,-0.04525598567541428
3,J,-5.8147051734058754,-6.097653173405876,-6.725715377487508,-5.626,-5.9089480000000005,-6.537010204081633,-0.23813043675419276,-0.23813043675419276,0.014613064816209054,-0.028103295611774826,-0.028103295611774826,0.22464020595862522,-0.02465113821086865,-0.0700630363939022,-0.02477252933317342,-0.06992472855677612
4,H,-6.333705173405876,-6.509094173405876,-6.89840670401812,-6.1450000000000005,-6.3203890000000005,-6.709701530612245,-0.14118394182338267,-0.14118394182338267,0.015482406752791888,0.06884319931903438,0.06884319931903438,0.22550954789521072,-0.01524293757039125,-0.05724016648906247,-0.015369028068550339,-0.05585557642522193
5,K,-6.485705173405876,-6.601016173405876,-6.856973030548733,-6.297000000000001,-6.412311000000001,-6.668267857142858,-0.11340918829886704,-0.11340918829886704,-0.010407555809559987,0.09661795284354824,0.09661795284354824,0.19961958533285706,-0.010315088016741988,-0.07723148496238369,-0.010287860010037453,-0.074805727140758
