,CDCyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.6144632385857012,-3.700494138585701,-6.627218340626517,-1.6259999999999994,-3.7120308999999994,-6.6387551020408155,-0.20354599634809567,-0.20354599634809567,-0.11825347314283174,-0.19298685066082255,-0.19298685066082255,-0.10769432745555907,0.050431424603439856,-0.0017179709965599518,0.06896098974332701,0.006618258324398774
1,V,-2.8834632385857013,-4.475853238585701,-6.7099938508306,-2.8949999999999996,-4.4873899999999995,-6.721530612244898,-0.11747328850547767,-0.11747328850547767,-0.05236449216558192,-0.106914142818205,-0.106914142818205,-0.04180534647830836,0.04811826071776516,0.04811826071776516,0.05520637667597096,0.05520637667597096
2,I,-4.383463238585701,-5.351636358585702,-6.7099938508306,-4.395,-5.36317312,-6.721530612244898,-0.09195064034023925,-0.09195064034023925,-0.05236449216558192,-0.08139149465296569,-0.08139149465296569,-0.04180534647830836,0.029255902516400617,0.02925590251640097,0.033565477018989986,0.03356547701899037
3,J,-5.368463238585702,-5.833441118585702,-6.485810177361212,-5.38,-5.84497788,-6.49734693877551,-0.0005302207077306775,-0.0005302207077306775,0.018481547823518518,0.010028924979543774,0.010028924979543774,0.02904069351079208,0.017128747317372534,0.07870335134260799,0.01665060815404932,0.08566208722169005
4,H,-5.941463238585702,-6.229685828585702,-6.634065279402028,-5.953,-6.2412225900000005,-6.6456020408163266,0.028267216706928444,0.028267216706928444,0.04005190884445042,0.038826362394202896,0.038826362394202896,0.05061105453172665,0.011048005590090094,0.09218233223461009,0.010334939088726264,0.10037156054652878
5,K,-6.111463238585702,-6.300957648585702,-6.566820381442845,-6.123,-6.31249441,-6.5783571428571435,0.03180950845341002,0.03180950845341002,0.03955745521785747,0.04236865414068269,0.04236865414068269,0.05011660090513104,0.007161831015512363,0.08773752158989999,0.006751626706960445,0.09610918560838771
