,SYCas,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-0.8278914067977059,-2.6981260067977058,-4.574090386389538,-0.7360000000000007,-2.6062346000000005,-4.482198979591833,-0.24490879497255325,-0.24490879497255325,0.11611212633187673,-0.12468204464528454,-0.12468204464528454,0.23633887665914433,-0.3244915702325358,-0.2944769481500707,-0.335927728219621,-0.3002788802653139
1,V,-1.8048914067977062,-3.232551406797706,-4.664585284348723,-1.713000000000001,-3.140660000000001,-4.572693877551018,-0.19775357594965293,-0.19775357594965293,0.07783491359571304,-0.07752682562238444,-0.07752682562238444,0.19806166392298152,-0.2527217342105616,-0.2527217342105616,-0.25776387920788946,-0.25776387920788946
2,I,-2.925891406797705,-3.793908686797705,-4.664585284348723,-2.8339999999999996,-3.7020172799999997,-4.572693877551018,-0.08972288804786954,-0.08972288804786954,0.07783491359571304,0.03050386227939894,0.03050386227939894,0.1980616639229824,-0.15365481440002157,-0.15365481440002124,-0.1567204385583984,-0.15672043855839696
3,J,-3.7688914067977057,-4.185768126797706,-4.603922019042603,-3.6770000000000005,-4.093876720000001,-4.512030612244898,-0.08301101388834864,-0.08301101388834864,-0.0025391749411003417,0.037215736438922065,0.037215736438922065,0.11768757538616814,-0.07767534946913586,-0.14496319224650062,-0.07745480514887448,-0.14946214822744622
4,H,-4.229891406797705,-4.488297866797705,-4.747495998634439,-4.138,-4.39640646,-4.655604591836734,-0.056282131294620896,-0.056282131294620896,-0.006400614686909556,0.06394461903264848,0.06394461903264848,0.11382613564036159,-0.04822403605147815,-0.11668452569419142,-0.048021551876494206,-0.12123915027054932
5,K,-4.334891406797706,-4.504782946797706,-4.675194978226276,-4.243,-4.41289154,-4.583303571428571,-0.03798544122058978,-0.03798544122058978,-0.005190410964690528,0.0822413091066787,0.0822413091066787,0.11503633936257796,-0.03167785427111232,-0.09836818256925427,-0.03167014642879025,-0.10241247887552762
