,QZNor,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.6695212665444377,-2.7823531665444374,-5.024725348177089,-1.0549999999999997,-2.1678318999999995,-4.410204081632651,-1.1283833806522252,-1.1283833806522252,-0.4264450832716191,-0.4852114226054314,-0.4852114226054314,0.2167268747751745,-0.03692446783256842,0.002238719241884568,0.06120848282504246,0.10396276548231773
1,V,-2.556521266544438,-3.4060112665444384,-5.117745756340355,-1.9420000000000002,-2.7914900000000005,-4.503224489795917,-1.0079530951173465,-1.0079530951173465,-0.4721223337581053,-0.36478113707055293,-0.36478113707055293,0.1710496242886883,-0.04097831524973222,-0.04097831524973222,0.04507646725735745,0.04507646725735745
2,I,-3.5605212665444377,-4.077011186544437,-5.117745756340355,-2.9459999999999997,-3.46248992,-4.503224489795917,-0.797907436664524,-0.797907436664524,-0.4721223337581053,-0.1547354786177304,-0.1547354786177304,0.1710496242886883,-0.02491481567183662,-0.02491481567183612,0.02740649209247334,0.02740649209247384
3,J,-4.289521266544438,-4.5375723465444375,-5.037398817564846,-3.675,-3.9230510799999996,-4.422877551020408,-0.6886536614943477,-0.6886536614943477,-0.5321910791774478,-0.045481703447551425,-0.045481703447551425,0.11098087886934582,-0.0036890598171470668,-0.1278729736369717,0.011284837351528326,-0.041570127176754346
4,H,-4.692521266544438,-4.846278956544438,-5.156102899197499,-4.078,-4.23175769,-4.541581632653061,-0.6096899289966746,-0.6096899289966746,-0.5127045611906516,0.033482029050120765,0.033482029050120765,0.13046739685614472,-0.0026909272623834024,-0.12863435929932782,0.007002245452818051,-0.024088056394170804
5,K,-4.806521266544438,-4.907610576544438,-5.111306980830152,-4.192,-4.29308931,-4.496785714285714,-0.6029327068396588,-0.6029327068396588,-0.5391688462379092,0.040239251207134785,0.040239251207134785,0.10400311180888444,-0.0007906640691743849,-0.16127676008696323,0.004501959184339363,-0.051934974383119226
