,BZCyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.49261646967656425,-3.2520840303234357,-5.846847816037722,0.1169999999999991,-3.627700500000001,-6.222464285714287,1.6027338543092189,1.6027338543092189,0.001336070395327127,1.2514801634414034,1.2514801634414034,-0.349917620472489,-0.028968491433057426,-0.02721389072992022,-0.047347965083112564,-0.04411293194147986
1,V,-1.1233835303234354,-3.9819335303234356,-5.96266924460915,-1.4990000000000006,-4.357550000000001,-6.338285714285715,1.221579759383156,1.221579759383156,-0.000861297039661757,0.8703260685153404,0.8703260685153404,-0.352114987907477,-0.022465606622127255,-0.022465606622127255,-0.03655296776867356,-0.03655296776867356
2,I,-3.0203835303234357,-4.758381930323436,-5.962669244609151,-3.396000000000001,-5.133998400000001,-6.338285714285716,0.742382865265411,0.742382865265411,-0.0008612970396626451,0.3911291743975953,0.3911291743975953,-0.35211498790747786,-0.013659088826253747,-0.013659088826254205,-0.022224204403353598,-0.022224204403354375
3,J,-4.458383530323435,-5.293080130323435,-5.871454958894864,-4.8340000000000005,-5.6686966000000005,-6.247071428571429,0.298437001750508,0.298437001750508,-0.05851578672495439,-0.052816689117305415,-0.052816689117305415,-0.4097694775927696,-0.008148687754108569,-0.06431631360882997,-0.0070392920781012225,-0.07931300010194908
4,H,-5.189383530323435,-5.706781080323435,-6.06529424460915,-5.565,-6.0823975500000005,-6.440910714285715,0.12779178924213408,0.12779178924213408,-0.0934700419703951,-0.22346190162568025,-0.22346190162568025,-0.44472373283820765,-0.005790011235588435,-0.09682212299210527,-0.0043630874917086615,-0.11638356482148021
5,K,-5.420383530323435,-5.760550980323435,-5.996258530323435,-5.796,-6.13616745,-6.371875,0.05207917380975058,0.05207917380975058,-0.09339131190456484,-0.2991745170580655,-0.2991745170580655,-0.44464500277238006,-0.003579811133414379,-0.0953664310489431,-0.0024876149434405193,-0.11694545220650276
