,ZSct,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.1394422941220768,-3.221241894122077,-6.275845355346569,-1.232000000000001,-3.313799600000001,-6.368403061224494,0.10965840896294354,0.10965840896294354,-0.1223503751920596,0.040416083285012894,0.040416083285012894,-0.19159270086999047,0.30022914036891535,0.29269280932420716,0.3152522541296672,0.30607896613680075
1,V,-2.474442294122076,-4.0636022941220755,-6.395360661469017,-2.567,-4.15616,-6.487918367346941,0.06505460634338389,0.06505460634338389,-0.11205133575967174,-0.00418771933454698,-0.00418771933454698,-0.18129366143760173,0.22943573111349091,0.22943573111349091,0.24089126236764197,0.24089126236764197
2,I,-4.011442294122077,-4.977651574122077,-6.395360661469017,-4.104000000000001,-5.070209280000001,-6.487918367346941,-0.004370922961014045,-0.004370922961014045,-0.11205133575967174,-0.07361324863894492,-0.07361324863894492,-0.18129366143760173,0.1394969245170018,0.13949692451700219,0.14646188751952507,0.1464618875195253
3,J,-5.011442294122077,-5.4754770141220765,-6.156350457387383,-5.104000000000001,-5.568034720000001,-6.248908163265307,0.027740210796497244,0.027740210796497244,-0.023974724297594285,-0.04150211488143096,-0.04150211488143096,-0.09321704997552427,0.07181168218351584,0.14181937878331313,0.07236124717164968,0.15276098376863773
4,H,-5.588442294122077,-5.876080254122076,-6.298128518611873,-5.681000000000001,-5.968637960000001,-6.390686224489797,0.030243401673764936,0.030243401673764936,-0.0018127738468880494,-0.03899892400416505,-0.03899892400416505,-0.07105509952481626,0.044893659539131034,0.13262887700799403,0.044875998692666216,0.14500535307898343
5,K,-5.743442294122076,-5.932552334122076,-6.210031579836362,-5.836,-6.02511004,-6.302589285714286,0.03896538989432141,0.03896538989432141,0.017889782784057395,-0.03027693578360946,-0.03027693578360946,-0.05135254289387259,0.029714952643835866,0.13603714537170725,0.02955750634883412,0.1482759732957615
