,VYCar,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.4543599233796947,-3.4783345233796945,-6.407752780522552,-2.6130000000000013,-3.636974600000001,-6.5663928571428585,-0.984289865952026,-0.984289865952026,0.23115581620495185,-1.1212798197348295,-1.1212798197348295,0.0941658624221482,0.07946892616670814,0.1486120508940068,0.03722755778625873,0.1205671108540145
1,V,-3.633359923379694,-4.415019923379694,-6.651217066236836,-3.7920000000000007,-4.57366,-6.809857142857143,-0.7845743482301284,-0.7845743482301284,0.14324678318741313,-0.9215643020129325,-0.9215643020129325,0.006256829404609476,0.04871058656655951,0.04871058656655951,0.024951181871896815,0.024951181871896815
2,I,-4.816359923379694,-5.291609203379694,-6.651217066236836,-4.9750000000000005,-5.45024928,-6.809857142857143,-0.42086846471445316,-0.42086846471445316,0.14324678318741313,-0.5578584184972568,-0.5578584184972568,0.006256829404609476,0.029616036632467507,0.02961603663246784,0.015170318578112242,0.015170318578112607
3,J,-5.633359923379694,-5.861604643379694,-6.514574209093979,-5.792000000000001,-6.020244720000001,-6.673214285714286,-0.14525057223835702,-0.14525057223835702,0.12567319813556566,-0.2822405260211589,-0.2822405260211589,-0.011316755647237997,0.010714530077135714,0.013591901021176883,0.007197499608688448,-0.010092643638377113
4,H,-6.151359923379694,-6.292840383379694,-6.697592066236837,-6.3100000000000005,-6.451480460000001,-6.856232142857143,-0.053303365633635025,-0.053303365633635025,0.1146322591529394,-0.19029331941643868,-0.19029331941643868,-0.022357694629860703,0.006616441677484403,0.0046675996387337965,0.004454155743824264,-0.023793461809300386
5,K,-6.290359923379694,-6.383377463379694,-6.649484923379694,-6.449000000000001,-6.542017540000001,-6.808125,-0.015171214639011055,-0.015171214639011055,0.09523949999967662,-0.1521611684218156,-0.1521611684218156,-0.04175045378312703,0.00388095944474319,-0.015099850791415459,0.0029549289469096296,-0.04468154069614392
