,AQPup,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.334260552745409,-4.526073952745409,-7.564235042541329,-2.463000000000001,-4.654813400000001,-7.692974489795921,-0.5958379860504555,-0.5958379860504555,-0.3358240579040581,-0.7049496542134888,-0.7049496542134888,-0.44493572606709186,-0.13092135436964714,-0.16778919101940928,-0.08549776976972895,-0.1301379063289847
1,V,-3.7102605527454084,-5.3834005527454085,-7.7026074915209195,-3.8390000000000004,-5.5121400000000005,-7.8313469387755115,-0.48586455783270033,-0.48586455783270033,-0.2873806432171291,-0.5949762259957341,-0.5949762259957341,-0.39649231138016194,-0.0958631474861891,-0.0958631474861891,-0.06371523940273355,-0.06371523940273355
2,I,-5.275260552745409,-6.292529672745409,-7.70260749152092,-5.404000000000001,-6.421269120000001,-7.831346938775512,-0.40805886330339725,-0.40805886330339725,-0.28738064321712997,-0.517170531466431,-0.517170531466431,-0.39649231138016283,-0.05828479367160322,-0.05828479367160361,-0.038738865556861735,-0.03873886555686262
3,J,-6.313260552745408,-6.801817432745408,-7.479025858867857,-6.442,-6.93055688,-7.607765306122449,-0.27995955718030174,-0.27995955718030174,-0.2220022541125548,-0.3890712253433337,-0.3890712253433337,-0.33111392227558767,-0.020112847998587924,0.003397444644705122,-0.014346832322913006,0.03440404182557466
4,H,-6.932260552745409,-7.235098892745409,-7.654875348663777,-7.061000000000001,-7.363838340000001,-7.783614795918369,-0.2520401286268017,-0.2520401286268017,-0.2161145400813833,-0.36115179678983456,-0.36115179678983456,-0.3252262082444135,-0.01267778304655462,0.004832352166084131,-0.008868034795091684,0.04041238376134876
5,K,-7.116260552745408,-7.315364212745408,-7.591349838459694,-7.245,-7.44410366,-7.720089285714286,-0.24262223139913264,-0.24262223139913264,-0.21900264555987903,-0.3517338995621664,-0.3517338995621664,-0.3281143137229119,-0.007840900597117867,0.002580649837581217,-0.005550671376678695,0.03820136264148505
