,WZCar,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.0568415304463823,-3.6308851304463823,-6.411254795752504,-2.253,-3.8270436,-6.607413265306122,-0.4735308789001407,-0.4735308789001407,0.4764146596809242,-0.648892623290561,-0.648892623290561,0.30105291529050326,-0.10549496383722828,-0.13894084307873666,-0.18701920515881265,-0.22433315652778973
1,V,-3.217841530446382,-4.419401530446382,-6.541821122283116,-3.4139999999999997,-4.615559999999999,-6.737979591836734,-0.2105541875762853,-0.2105541875762853,0.5145950785161313,-0.3859159319667058,-0.3859159319667058,0.3392333341257121,-0.06839380399582784,-0.06839380399582784,-0.14094369099351517,-0.14094369099351517
2,I,-4.520841530446382,-5.251390010446382,-6.541821122283117,-4.717,-5.44754848,-6.7379795918367344,0.0737043247319411,0.0737043247319411,0.5145950785161304,-0.10165741965847896,-0.10165741965847896,0.3392333341257112,-0.041583432829463474,-0.04158343282946414,-0.08569376412405827,-0.08569376412405849
3,J,-5.4748415304463816,-5.825697050446381,-6.445443571262708,-5.670999999999999,-6.021855519999999,-6.641602040816326,0.2433302333461338,0.2433302333461338,0.45507381904511934,0.0679684889557155,0.0679684889557155,0.27971207465469927,-0.03247586817679338,-0.018630379918165296,-0.0448032203899999,-0.09009364648345031
4,H,-6.0278415304463815,-6.2453238904463815,-6.62948183656883,-6.223999999999999,-6.441482359999999,-6.825640306122448,0.31587914380969107,0.31587914380969107,0.44713116097241823,0.140517399419271,0.140517399419271,0.2717694165820017,-0.019621695263290773,0.008045896275355624,-0.027795164545512063,-0.07644372207365996
5,K,-6.193841530446382,-6.336827170446382,-6.5893951018749535,-6.39,-6.53298564,-6.785553571428571,0.33388362696222806,0.33388362696222806,0.42017638962722526,0.1585218825718071,0.1585218825718071,0.24481464523680518,-0.014248622473704453,-0.005165335828845985,-0.018496753707195668,-0.09185942820909049
