,SZTau,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.5528255828063138,-2.8010590828063138,-4.924738848112435,-1.4489999999999998,-2.6972335,-4.820913265306121,-1.1181718065892627,-1.1181718065892627,-0.5603771595577092,-0.9848930524609258,-0.9848930524609258,-0.4270984054293727,-0.10213641934044859,-0.09390295657381731,-0.010021412417391296,-0.0027943077845797304
1,V,-2.391825582806314,-3.344675582806314,-4.965805174643048,-2.2880000000000003,-3.24085,-4.861979591836734,-0.9923021929704188,-0.9923021929704188,-0.5665047524883171,-0.8590234388420819,-0.8590234388420819,-0.43322599835998066,-0.0857414590220672,-0.0857414590220672,-0.00828899717022391,-0.00828899717022391
2,I,-3.4008255828063136,-3.9801583828063136,-4.965805174643048,-3.2969999999999997,-3.8763327999999997,-4.861979591836734,-0.8253895963014344,-0.8253895963014344,-0.566504752488318,-0.6921108421730979,-0.6921108421730979,-0.43322599835997977,-0.052130807085416286,-0.05213080708541662,-0.005039710279496956,-0.005039710279496068
3,J,-4.090825582806314,-4.369057782806314,-4.8424276236226405,-3.987,-4.2652322,-4.7386020408163265,-0.7062937482594132,-0.7062937482594132,-0.5819608956386375,-0.5730149941310732,-0.5730149941310732,-0.44868214151030106,-0.01352723363282815,-0.10749394830487574,0.0021215388240896638,-0.031392020271736876
4,H,-4.503825582806314,-4.676291432806314,-4.9697158889287625,-4.4,-4.57246585,-4.8658903061224485,-0.652000846109769,-0.652000846109769,-0.5749315093825071,-0.5187220919814308,-0.5187220919814308,-0.44165275525416803,-0.009094377771756479,-0.12070084764920241,0.0013482998084780595,-0.031038376659574707
5,K,-4.603825582806314,-4.717214732806314,-4.910129154234885,-4.5,-4.61338915,-4.806303571428571,-0.6377059193594787,-0.6377059193594787,-0.5870360239421091,-0.5044271652311427,-0.5044271652311427,-0.45375726981377174,-0.0047081316583751365,-0.13795114078380527,0.0012693747891391327,-0.04620549051870654
