,YZSgr,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.8720273077371115,-3.0610226077371117,-5.671695675084049,-1.811,-2.9999953,-5.610668367346937,-0.7964250402493467,-0.7964250402493467,0.10066725468474935,-0.7107748427341896,-0.7107748427341896,0.1863174521999058,0.033369517356747716,0.04258987586818548,0.022492877744822393,0.03352882865088555
1,V,-2.8930273077371114,-3.8006573077371115,-5.793537511818743,-2.832,-3.73963,-5.732510204081631,-0.5963744947030278,-0.5963744947030278,0.08842878387261877,-0.5107242971878709,-0.5107242971878709,0.1740789813877761,0.024633539231223453,0.024633539231223453,0.016846226971465122,0.016846226971465122
2,I,-4.030027307737111,-4.581866347737111,-5.793537511818743,-3.9689999999999994,-4.520839039999999,-5.732510204081631,-0.3279316095013747,-0.3279316095013747,0.08842878387261877,-0.24228141198621778,-0.24228141198621778,0.1740789813877761,0.014977191852583699,0.014977191852584032,0.010242505998650536,0.010242505998651091
3,J,-4.772027307737111,-5.037055267737111,-5.618976287328947,-4.710999999999999,-4.97602796,-5.557948979591836,-0.08532854767521592,-0.08532854767521592,0.11463400966887338,0.0003216498399432055,0.0003216498399432055,0.20028420718403073,0.006059570576935458,0.043856813593748656,0.0031195065945739675,0.03655512169709044
4,H,-5.241027307737111,-5.405308337737111,-5.766019654675887,-5.18,-5.344281029999999,-5.704992346938775,0.0012709253416058885,0.0012709253416058885,0.12522031876379724,0.08692112285676412,0.08692112285676412,0.21087051627895725,0.00411994008915556,0.056353197875692984,0.0019287966441417503,0.0483236544663381
5,K,-5.341027307737112,-5.449035277737112,-5.686188022022826,-5.28,-5.38800797,-5.625160714285714,0.054463660447733986,0.054463660447733986,0.13595525059823554,0.14011385796289044,0.14011385796289044,0.2216054481133929,0.0025119458086342583,0.0671938811398071,0.0010833949140996169,0.05945123725345505
