,ZLac,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.8080685128864715,-3.3736495128864714,-6.038833819008921,-1.6950000000000003,-3.260581,-5.925765306122449,-0.6570917506721006,-0.6570917506721006,-0.10089224512701733,-0.5199683812204285,-0.5199683812204285,0.03623112432465447,-0.010379926054832483,-0.02546937883687088,0.012058772423538991,-0.006668894268254108
1,V,-2.908068512886471,-4.103168512886471,-6.137660349621164,-2.795,-3.9901,-6.024591836734693,-0.5059147463453848,-0.5059147463453848,-0.08133497112012922,-0.368791376893713,-0.368791376893713,0.05578839833154259,-0.005860099522378093,-0.005860099522378093,0.010028836010658737,0.010028836010658737
2,I,-4.174068512886471,-4.900689312886471,-6.137660349621165,-4.061,-4.7876208,-6.024591836734694,-0.3394794744570855,-0.3394794744570855,-0.0813349711201301,-0.20235610500541368,-0.20235610500541368,0.0557883983315417,-0.0035629405096058303,-0.0035629405096062328,0.006097532294481255,0.006097532294480797
3,J,-4.976068512886471,-5.325037712886471,-5.9191093292130015,-4.8629999999999995,-5.2119691999999995,-5.80604081632653,-0.13623705121574137,-0.13623705121574137,-0.012259756849966053,0.0008863182359331034,0.0008863182359331034,0.12486361260170575,0.0019283136039932001,0.05774446589469208,0.002428912115146939,0.07374408288029544
4,H,-5.495068512886471,-5.711381612886471,-6.079624635335451,-5.382,-5.5983130999999995,-5.96655612244898,-0.08925286983186087,-0.08925286983186087,-0.0124039305160899,0.04787049961981271,0.04787049961981271,0.12471943893558546,0.0011748756048289462,0.05397894177074579,0.0014976592914727888,0.0734648554063428
5,K,-5.629068512886471,-5.7712854128864715,-6.0133899414579,-5.516,-5.6582169,-5.900321428571429,-0.06548581605469384,-0.06548581605469384,-0.01496082280288924,0.07163755339697797,0.07163755339697797,0.12216254664878345,0.0007771508087314159,0.05028334755688421,0.0008787799700732124,0.07074673897122621
