,TVul,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.3896092716170356,-2.6434872716170355,-4.725553149168055,-2.425,-2.6788779999999996,-4.7609438775510196,-1.7571305243947843,-1.7571305243947843,0.0733798169728681,-1.7645589193614204,-1.7645589193614204,0.06595142200623094,-0.16464737152649794,-0.1440380885700201,-0.1761908578856869,-0.15144249157000522
1,V,-3.026609271617035,-3.220409271617035,-4.809772536923157,-3.0619999999999994,-3.2557999999999994,-4.845163265306121,-1.3501921772960244,-1.3501921772960244,0.047143961152564806,-1.3576205722626604,-1.3576205722626604,0.03971556618592942,-0.12919932781383514,-0.12919932781383514,-0.13549679667921422,-0.13549679667921422
2,I,-3.725609271617035,-3.843439671617035,-4.809772536923157,-3.7609999999999992,-3.878830399999999,-4.845163265306121,-0.8024364110241775,-0.8024364110241775,0.047143961152564806,-0.8098648059908138,-0.8098648059908138,0.03971556618592942,-0.07855319131081143,-0.0785531913108111,-0.08238205238096287,-0.08238205238096241
3,J,-4.178609271617035,-4.235198871617035,-4.699292945086423,-4.2139999999999995,-4.270589599999999,-4.734683673469387,-0.3921712967292361,-0.3921712967292361,0.01585085569775302,-0.39959969169586973,-0.39959969169586973,0.008422460731116743,-0.03959201051120781,-0.06344352781007145,-0.04002306966049277,-0.06961915087210936
4,H,-4.509609271617036,-4.544687071617036,-4.832361822637443,-4.545,-4.5800778,-4.867752551020407,-0.228623092384038,-0.228623092384038,0.024294748675157685,-0.2360514873506725,-0.2360514873506725,0.016866353708524073,-0.024360638584813667,-0.038182445529653844,-0.024803216951310582,-0.04543877403330369
5,K,-4.574609271617035,-4.597671471617035,-4.786805700188464,-4.609999999999999,-4.6330621999999995,-4.822196428571428,-0.16732258653502186,-0.16732258653502186,-0.0010395860596394968,-0.17475098150165813,-0.17475098150165813,-0.008467981026275773,-0.016325420730738716,-0.05463580560729966,-0.01631192874453191,-0.062044433693520556
