,XPup,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.116070902897958,-3.897448202897958,-6.794642331469385,-2.49,-4.2713773,-7.168571428571427,-0.46315556296243776,-0.46315556296243776,0.245930967223158,-0.8168124860099595,-0.8168124860099595,-0.10772595582436484,-0.08844955366039028,-0.16129133943032503,-0.1441496701007297,-0.228480976291899
1,V,-3.311070902897958,-4.670900902897958,-6.8824994743265275,-3.6850000000000005,-5.04483,-7.25642857142857,-0.20635854881867122,-0.20635854881867122,0.33492887880392175,-0.5600154718661932,-0.5600154718661932,-0.018728044243599307,-0.04963884349024961,-0.04963884349024961,-0.10653953146375586,-0.10653953146375586
2,I,-4.711070902897958,-5.537847542897958,-6.882499474326528,-5.085,-5.91177664,-7.256428571428571,0.0058261228093847706,0.0058261228093847706,0.33492887880392175,-0.34783080023813806,-0.34783080023813806,-0.018728044243600195,-0.030180416842072844,-0.030180416842072677,-0.06477603512996372,-0.06477603512996424
3,J,-5.638070902897958,-6.035141262897958,-6.680928045755101,-6.0120000000000005,-6.40907036,-7.054857142857143,0.22151148018098965,0.22151148018098965,0.37956740904678643,-0.13214544286653052,-0.13214544286653052,0.025910485999264488,-0.0203096199215842,0.06975648879941865,-0.030855539450586975,0.012944722272927485
4,H,-6.218070902897958,-6.464200132897958,-6.8644994743265295,-6.5920000000000005,-6.838129230000001,-7.238428571428572,0.2766501649113522,0.2766501649113522,0.3746231893110412,-0.07700675813616975,-0.07700675813616975,0.020966266263521938,-0.012133261837223852,0.0879130935217095,-0.01913142257466365,0.01949802870818058
5,K,-6.387070902897958,-6.548890672897958,-6.812070902897958,-6.761,-6.92281977,-7.186,0.29587880939121636,0.29587880939121636,0.36029201327830496,-0.05777811365630647,-0.05777811365630647,0.006635090230783902,-0.00902505209968929,0.08284471992366971,-0.012590643516855675,0.011617693396913906
