,SZAql,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.2230580080288842,-3.4825722080288846,-6.623466171294192,-1.5150000000000006,-3.774514200000001,-6.915408163265308,0.19011316869633843,0.19011316869633843,-0.10954998151331452,-0.07974990215305544,-0.07974990215305544,-0.3794130523627093,0.26466530364517976,0.2429464429684095,0.26736031917115666,0.24206655765772234
1,V,-2.6220580080288833,-4.346878008028884,-6.7445069876207215,-2.9139999999999997,-4.63882,-7.036448979591838,0.14708675242119318,0.14708675242119318,-0.08166374392205356,-0.12277631842820114,-0.12277631842820114,-0.3515268147714474,0.20539001681934776,0.20539001681934776,0.20487124901291454,0.20487124901291454
2,I,-4.238058008028884,-5.286748568028884,-6.7445069876207215,-4.53,-5.57869056,-7.036448979591838,0.05741655785463973,0.05741655785463973,-0.08166374392205356,-0.21244651299475414,-0.21244651299475414,-0.3515268147714474,0.12487713022616306,0.12487713022616347,0.12456171939985289,0.12456171939985294
3,J,-5.301058008028884,-5.8047054480288836,-6.5048131100697,-5.593,-6.09664744,-6.796755102040817,0.07145415931589305,0.07145415931589305,0.0046590143836651166,-0.19840891153349904,-0.19840891153349904,-0.26520405646572875,0.06410098201495674,0.136638159488887,0.06363361886656427,0.13517846861461602
4,H,-5.909058008028883,-6.221250428028883,-6.655221273335006,-6.201,-6.513192419999999,-6.947163265306123,0.06556213217649276,0.06556213217649276,0.024158292338364973,-0.20430093867290022,-0.20430093867290022,-0.24570477851102623,0.04010560962586165,0.12905005648439566,0.03947491453288168,0.12577366156696423
5,K,-6.0960580080288835,-6.3013115880288835,-6.586629436600313,-6.388,-6.59325358,-6.878571428571429,0.05224121044004981,0.05224121044004981,0.02501990137520327,-0.21762186040934495,-0.21762186040934495,-0.2448431694741906,0.026317858723188526,0.11566938487226715,0.02616327221452716,0.11103120740282507
