,SVMon,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.183701472036832,-3.1738256720368323,-5.936584125098057,-2.0540000000000003,-3.0441242000000006,-5.806882653061225,-0.8386509772771826,-0.8386509772771826,0.4276882070777859,-0.6863572166993384,-0.6863572166993384,0.5799819676556295,0.04770576225511658,0.06516273028007785,-0.009453340422284295,0.01236370966648248
1,V,-3.2377014720368322,-3.993521472036832,-6.10249739040418,-3.1080000000000005,-3.8638200000000005,-5.972795918367348,-0.5639045733134949,-0.5639045733134949,0.40276655978190057,-0.4116108127356508,-0.4116108127356508,0.555060320359746,0.0373888680795193,0.0373888680795193,-0.007692065746042198,-0.007692065746042198
2,I,-4.3607014720368324,-4.820240032036833,-6.10249739040418,-4.231000000000001,-4.690538560000001,-5.972795918367348,-0.1849694891400997,-0.1849694891400997,0.40276655978190146,-0.03267572856225609,-0.03267572856225609,0.555060320359746,0.022732431792346575,0.022732431792347574,-0.004676775973594505,-0.0046767759735935055
3,J,-5.148701472036833,-5.3694009120368325,-5.985221880200098,-5.019000000000001,-5.239699440000001,-5.855520408163266,0.08541502044921412,0.08541502044921412,0.36768299131307014,0.2377087810270604,0.2377087810270604,0.5199767518909146,0.0014507489856303568,0.02346973804330532,-0.008135167088729744,-0.020013257432269338
4,H,-5.667701472036833,-5.8045048920368325,-6.186229533261323,-5.538000000000001,-5.674803420000001,-6.056528061224491,0.1591376777790945,0.1591376777790945,0.3341051528693617,0.31143143835693987,0.31143143835693987,0.486398913447208,0.0008019578571335506,0.006895573841321112,-0.005099674330387549,-0.04300531442282751
5,K,-5.7677014720368325,-5.857644052036832,-6.108612186322547,-5.638000000000001,-5.727942580000001,-5.978910714285715,0.2286826559265691,0.2286826559265691,0.34371652076492154,0.3809764165044127,0.3809764165044127,0.49601028134276604,-0.00018589094071641554,0.021626797174613854,-0.0037731336292743944,-0.02833471248677566
