,XSct,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.2833511236918991,-2.2088845763081006,-4.365143774267285,-0.9600000000000009,-3.4522357000000006,-5.608494897959185,0.884070005839079,0.884070005839079,0.3640208250617656,-0.3310794374496433,-0.3310794374496433,-0.8511286182269577,-0.007122695268623969,-0.03118324807072842,-0.1253606687816684,-0.14856301722597842
1,V,-0.8436488763081016,-2.7461188763081017,-4.392118264063203,-2.0870000000000015,-3.9894700000000016,-5.635469387755103,0.7883142410963513,0.7883142410963513,0.3913301336327528,-0.42683520219237114,-0.42683520219237114,-0.8238193096559687,0.0035238721587258492,0.0035238721587258492,-0.09537137055439693,-0.09537137055439693
2,I,-2.2346488763081016,-3.3913506363081014,-4.392118264063203,-3.4780000000000015,-4.634701760000001,-5.635469387755103,0.6326964709706209,0.6326964709706209,0.3913301336327528,-0.582452972318102,-0.582452972318102,-0.8238193096559687,0.002142514272506002,0.002142514272506224,-0.05798579329707365,-0.05798579329707387
3,J,-3.3756488763081007,-3.9311701163081008,-4.411801937532591,-4.619000000000001,-5.174521240000001,-5.655153061224491,0.346264965325894,0.346264965325894,0.23034560594652387,-0.8688844779628262,-0.8688844779628262,-0.9848038373421986,-0.011705763830903576,-0.11367240189127714,-0.019379020007912806,-0.2145339222180367
4,H,-3.903648876308101,-4.247995946308102,-4.545921835491774,-5.147000000000001,-5.4913470700000016,-5.789272959183674,0.3084374595880188,0.3084374595880188,0.2365833361371079,-0.9067119837007018,-0.9067119837007018,-0.9785661071516119,-0.006806338727051969,-0.08727263931440515,-0.011946062080048447,-0.2121541267746031
5,K,-4.028648876308101,-4.255042806308102,-4.450916733450958,-5.272000000000001,-5.4983939300000015,-5.694267857142858,0.3078105263964215,0.3078105263964215,0.26056941760825314,-0.9073389168923018,-0.9073389168923018,-0.9545800256804684,-0.0048099693209675,-0.056278271275388814,-0.007024866351557413,-0.18905609847141924
