,RYVel,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-2.2111880315545314,-4.517246531554532,-7.347591092779024,-2.0679999999999996,-4.3740585,-7.204403061224492,-0.511948021562896,-0.511948021562896,-0.20525424549222482,-0.3488369254405659,-0.3488369254405659,-0.04214314936989538,-0.2824013968979194,-0.3010268117881326,-0.2427472699978584,-0.26614648033015037
1,V,-3.5841880315545307,-5.3445380315545306,-7.5051063989014715,-3.440999999999999,-5.201349999999999,-7.36191836734694,-0.4146354834607515,-0.4146354834607515,-0.18051809714726197,-0.25152438733842164,-0.25152438733842164,-0.017407001024930757,-0.21389858332302625,-0.21389858332302625,-0.18434209765201,-0.18434209765201
2,I,-5.1211880315545315,-6.191480831554531,-7.5051063989014715,-4.978,-6.0482928,-7.36191836734694,-0.3228614680258639,-0.3228614680258639,-0.18051809714726108,-0.15975037190353447,-0.15975037190353447,-0.017407001024930757,-0.13005033866040105,-0.13005033866039983,-0.11207999537242239,-0.11207999537242205
3,J,-6.255188031554531,-6.769210231554531,-7.400096194819838,-6.111999999999999,-6.6260221999999995,-7.256908163265306,-0.3014912945079562,-0.3014912945079562,-0.2331290177044183,-0.138380198385625,-0.138380198385625,-0.07001792158208797,-0.06011997595697688,-0.13641943143706425,-0.05371156310410785,-0.10698186484651201
4,H,-6.832188031554531,-7.150811381554531,-7.541874256044327,-6.688999999999999,-7.007623349999999,-7.398686224489795,-0.23697023613147028,-0.23697023613147028,-0.19459498920872864,-0.07385914000913996,-0.07385914000913996,-0.03148389308639565,-0.036881623007489345,-0.0836237121776659,-0.033261439071344365,-0.04829106326902574
5,K,-7.027188031554531,-7.236669681554531,-7.493777317268817,-6.8839999999999995,-7.093481649999999,-7.350589285714285,-0.24093024540065056,-0.24093024540065056,-0.21307027642934528,-0.07781914927832112,-0.07781914927832112,-0.04995918030701407,-0.023960125974394092,-0.09217094863619052,-0.02183404196763044,-0.055480844731542994
