,XLac,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.9848706348897842,-3.406587434889784,-5.62078900223672,-2.1740000000000013,-3.5957168000000013,-5.8099183673469375,-1.2339599305757112,-1.2339599305757112,-0.5616910698687887,-1.3960194828143064,-1.3960194828143064,-0.723750622107385,-0.2517938691463566,-0.27348348422573915,-0.17476189691018318,-0.20207135703094425
1,V,-2.885870634889784,-3.971150634889784,-5.661380838971414,-3.075000000000001,-4.160280000000001,-5.8505102040816315,-1.0436854721497728,-1.0436854721497728,-0.5305031357322747,-1.2057450243883683,-1.2057450243883683,-0.6925626879708702,-0.19374444945736785,-0.19374444945736785,-0.13280873470631605,-0.13280873470631605
2,I,-3.973870634889783,-4.633720874889783,-5.661380838971414,-4.163,-4.82285024,-5.8505102040816315,-0.8425179962741138,-0.8425179962741138,-0.5305031357322756,-1.0045775485127093,-1.0045775485127093,-0.6925626879708702,-0.11779662527007934,-0.11779662527007967,-0.0807477107014406,-0.08074771070144071
3,J,-4.682870634889784,-4.999772394889784,-5.49331961448162,-4.872000000000001,-5.188901760000001,-5.682448979591837,-0.6558233449800612,-0.6558233449800612,-0.5059741027461513,-0.8178828972186549,-0.8178828972186549,-0.6680336549847468,-0.044708478214622094,-0.0947876844626187,-0.031456685753621594,-0.03585721709631118
4,H,-5.133870634889783,-5.330306314889784,-5.636237981828558,-5.323,-5.519435680000001,-5.8253673469387754,-0.5959581976132267,-0.5959581976132267,-0.5030721947216596,-0.7580177498518212,-0.7580177498518212,-0.6651317469602525,-0.02838994691609853,-0.09824287702011608,-0.01945484385009244,-0.030356352871966474
5,K,-5.244870634889783,-5.374018954889783,-5.575156349175497,-5.434,-5.56314832,-5.764285714285714,-0.5734703067669678,-0.5734703067669678,-0.5124016087332866,-0.7355298590055641,-0.7355298590055641,-0.6744611609718811,-0.017540551415269112,-0.10535703562138338,-0.012217443450052823,-0.037169108406240436
