,USgr,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,-1.1370407325515544,-2.8380233325515545,-5.361122365204617,-1.2720000000000002,-2.9729826000000004,-5.496081632653063,-0.2624628262620321,-0.2624628262620321,-0.030358961663338846,-0.3712842549544566,-0.3712842549544566,-0.13918039035576424,0.07158613908961534,0.0799652459035281,0.07057174510377967,0.08075359664639922
1,V,-2.2330407325515536,-3.531500732551554,-5.457530528469921,-2.3679999999999994,-3.66646,-5.592489795918367,-0.21775977960722592,-0.21775977960722592,-0.04058125701280346,-0.32658120829965087,-0.32658120829965087,-0.14940268570522797,0.052566800440753715,0.052566800440753715,0.05333085058310649,0.05333085058310649
2,I,-3.497040732551554,-4.286504412551554,-5.457530528469922,-3.6319999999999997,-4.42146368,-5.592489795918368,-0.14830579875021277,-0.14830579875021277,-0.04058125701280524,-0.2571272274426377,-0.2571272274426377,-0.14940268570522885,0.03196061466797938,0.031960614667978136,0.03242515715452973,0.03242515715452918
3,J,-4.336040732551554,-4.715191052551554,-5.277591752959718,-4.471,-4.85015032,-5.412551020408164,-0.05774807366662582,-0.05774807366662582,-0.006011945069054114,-0.16656950235904766,-0.16656950235904766,-0.11483337376147773,0.017168303290265596,0.045119216384302344,0.01718971899002722,0.04548095697281887
4,H,-4.830040732551554,-5.065061992551554,-5.413673385612778,-4.965,-5.20002126,-5.548632653061224,-0.02384469829251401,-0.02384469829251401,0.008224614297076549,-0.13266612698493763,-0.13266612698493763,-0.10059681439534529,0.010899833946515504,0.0513894789877763,0.01067280909766058,0.05117829052976766
5,K,-4.969040732551553,-5.123557472551553,-5.35275501826584,-5.103999999999999,-5.258516739999999,-5.4877142857142855,-0.021851706509349533,-0.021851706509349533,-0.0007674623206144204,-0.13067313520177493,-0.13067313520177493,-0.10958889101303804,0.007057367610161213,0.038388839092716454,0.007106513923145666,0.037646300443208575
