,V0495Cyg,abs_g,abs0_g,VI_g,abs_i,abs0_i,VI_i,r_g,r0_g,r_VI_g,r_i,r0_i,r_VI_i,S_VI_g,M_VI_g,S_VI_i,M_VI_i
0,B,0.6239510248890756,-3.5142603751109247,-5.805742852661943,-0.29499999999999993,-4.4332114,-6.724693877551019,1.4962231362514427,1.4962231362514427,-0.48004469564770424,0.6034273269260924,0.6034273269260924,-1.3728405049730554,-0.24993615973779193,-0.23060847430449438,-0.22313374153059717,-0.19908890416565161
1,V,-1.0040489751109245,-4.162988975110924,-5.912212240417046,-1.923,-5.0819399999999995,-6.831163265306121,1.0080045789063679,1.0080045789063679,-0.5005968194899282,0.11520876958101711,0.11520876958101711,-1.3933926288152785,-0.200016363377035,-0.200016363377035,-0.1724198663553964,-0.1724198663553964
2,I,-2.928048975110924,-4.848684495110924,-5.9122122404170465,-3.8469999999999995,-5.76763552,-6.831163265306122,0.41663283073501933,0.41663283073501933,-0.5005968194899291,-0.47616297859033097,-0.47616297859033097,-1.3933926288152794,-0.12160994893323773,-0.12160994893323807,-0.10483127874408105,-0.1048312787440826
3,J,-4.389048975110925,-5.311459455110925,-5.822232648580313,-5.308000000000001,-6.230410480000001,-6.741183673469388,-0.1154408266539857,-0.1154408266539857,-0.5559524349857039,-1.0082366359793342,-1.0082366359793342,-1.4487482443110533,-0.049396662455882145,-0.17296667050227882,-0.035745504599014266,-0.14917233169838173
4,H,-5.080048975110925,-5.651817115110925,-5.968426526131333,-5.9990000000000006,-6.57076814,-6.887377551020409,-0.27885513178917165,-0.27885513178917165,-0.5519119848989007,-1.171650941114521,-1.171650941114521,-1.4447077942242483,-0.03134688370525329,-0.17301641881037993,-0.022063547388219362,-0.15042385422977045
5,K,-5.308048975110925,-5.683962835110925,-5.892120403682354,-6.227,-6.60291386,-6.811071428571429,-0.36600207382347616,-0.36600207382347616,-0.5455256402326363,-1.2587978831488273,-1.2587978831488273,-1.4383214495579857,-0.01921105247250554,-0.16347367454498307,-0.01327070838515998,-0.14485069468409906
